%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.071,82576.408,0.978,29.915,437.717,482.084,5.908,0.000,0.000,-2074.149,3907.744,-104.296,-0.037,0.039,-1117.128,-1622.284,-1115.603,-1111.573,-852.579,-715.225,-512.513,-349.467,359.782,9.920,61.075,65.978,193.388,146.458,399.977,346.998
294.071,82576.408,0.978,29.915,437.717,482.084,5.908,0.000,0.000,-2074.149,3907.744,-104.296,-0.037,0.039,-1119.719,-1622.840,-1112.827,-1108.134,-855.168,-716.054,-517.427,-353.963,357.322,-1.147,54.313,60.764,192.969,143.946,399.769,346.208
294.133,82601.850,0.978,29.918,437.825,483.600,5.895,0.000,0.000,-2074.149,3914.229,-104.296,-0.037,0.039,-1119.395,-1624.732,-1113.852,-1105.112,-844.491,-718.750,-516.145,-355.462,358.105,0.627,53.256,60.126,193.283,145.830,399.977,344.966
294.412,82734.876,0.979,29.889,437.289,483.881,5.896,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-1123.607,-1628.627,-1119.298,-1105.945,-846.324,-712.943,-508.027,-345.291,359.447,4.281,56.532,61.828,192.341,144.783,400.600,347.223
293.910,82488.778,0.978,29.922,437.688,481.984,5.906,0.000,0.000,-2074.149,3901.473,-104.296,-0.038,0.040,-1120.259,-1627.181,-1119.084,-1118.555,-859.267,-727.565,-519.029,-354.499,357.098,7.100,58.539,62.573,192.236,144.678,399.354,347.787
294.438,82748.373,0.979,29.897,437.537,483.265,5.893,0.000,0.000,-2074.149,3905.465,-104.296,-0.036,0.038,-1120.367,-1624.064,-1109.047,-1105.529,-851.610,-718.750,-518.923,-358.032,358.999,6.161,59.913,66.404,195.796,146.039,399.769,344.966
294.068,82573.050,0.978,29.906,437.420,485.022,5.904,0.000,0.000,-2074.149,3913.424,-104.296,-0.038,0.039,-1124.579,-1627.403,-1114.065,-1105.216,-843.845,-717.195,-519.030,-361.458,358.776,-3.335,52.305,58.423,191.608,142.689,399.665,343.725
294.128,82600.817,0.978,29.903,437.412,485.466,5.900,0.000,0.000,-2074.149,3917.061,-104.296,-0.037,0.039,-1119.287,-1628.405,-1119.191,-1113.344,-854.953,-719.061,-517.001,-354.606,356.763,2.193,53.890,59.168,192.236,143.841,399.562,348.465
294.414,82744.627,0.979,29.911,437.974,484.630,5.901,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-1117.128,-1627.181,-1116.094,-1111.677,-851.502,-713.980,-515.505,-358.139,357.833,8.771,61.604,67.894,196.529,148.447,400.808,349.593
293.928,82499.111,0.978,29.936,438.117,485.960,5.898,0.000,0.000,-2074.149,3915.731,-104.296,-0.038,0.040,-1122.635,-1627.292,-1114.813,-1104.903,-856.571,-723.002,-523.837,-369.809,357.497,-5.107,50.720,57.891,193.283,143.946,400.288,346.772
294.446,82757.220,0.979,29.923,438.350,489.177,5.890,0.000,0.000,-2074.149,3914.177,-104.296,-0.036,0.038,-1123.283,-1629.852,-1115.560,-1109.489,-847.727,-712.425,-511.873,-353.000,356.267,5.533,58.425,64.276,196.005,150.436,401.950,354.671
294.071,82572.146,0.978,29.932,438.182,486.861,5.896,0.000,0.000,-2074.149,3909.774,-104.296,-0.037,0.039,-1116.696,-1622.729,-1114.279,-1108.342,-848.482,-711.595,-513.796,-360.387,359.734,4.594,54.939,58.956,190.456,140.491,400.288,340.791
294.124,82597.395,0.978,29.947,438.671,487.278,5.892,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-1128.466,-1634.415,-1125.171,-1119.076,-860.669,-725.905,-526.080,-367.026,357.945,-0.417,55.045,62.042,195.618,149.494,400.496,351.850
294.411,82739.074,0.979,29.947,438.985,488.688,5.887,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-1119.611,-1627.069,-1113.638,-1108.238,-845.463,-714.188,-514.330,-363.171,359.063,6.786,56.735,62.042,193.419,147.275,402.054,352.753
293.909,82489.941,0.978,29.969,439.063,489.384,5.888,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.040,-1125.335,-1627.069,-1116.415,-1112.719,-854.198,-717.299,-514.330,-358.567,359.063,4.489,54.411,57.998,187.660,137.435,399.566,344.176
294.447,82762.386,0.979,29.944,438.987,488.759,5.880,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-1125.119,-1624.955,-1113.638,-1110.010,-853.659,-720.721,-517.321,-356.961,358.392,5.011,59.376,65.873,196.037,148.217,399.359,345.872
294.089,82579.184,0.978,29.976,439.478,488.100,5.890,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-1121.558,-1627.069,-1116.308,-1106.466,-847.943,-711.595,-517.001,-359.424,357.609,7.204,59.693,67.043,198.969,153.450,400.709,352.866
294.130,82601.657,0.978,29.987,439.852,488.573,5.878,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1111.947,-1617.164,-1108.086,-1103.444,-847.512,-712.321,-514.544,-357.604,357.833,0.104,52.720,58.424,190.173,139.424,399.359,340.570
294.488,82728.677,0.979,29.976,439.675,491.979,5.876,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1116.699,-1626.290,-1117.844,-1114.595,-858.081,-721.758,-521.060,-364.349,357.050,8.352,60.222,65.341,195.828,151.566,400.812,351.738
294.279,82426.980,0.976,30.012,439.441,488.011,5.880,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.040,-1114.971,-1619.724,-1106.634,-1096.983,-837.590,-705.166,-511.767,-352.465,357.945,13.886,64.765,70.875,199.388,153.032,401.435,350.948
