%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.763,82529.526,0.975,30.037,439.983,482.897,6.218,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-105.747,-565.663,-302.258,-466.288,-445.605,-442.924,-386.671,-454.646,298.770,-171.675,-76.894,-51.945,111.004,42.497,375.267,230.017
294.763,82529.526,0.975,30.037,439.983,482.897,6.218,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-96.124,-558.082,-317.119,-496.984,-473.246,-445.001,-386.030,-435.698,294.519,-159.479,-76.261,-56.300,102.940,35.065,374.540,223.023
294.334,82316.943,0.974,30.044,439.709,482.429,6.211,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-115.911,-591.304,-333.799,-494.060,-448.628,-451.023,-391.690,-474.343,293.289,-156.977,-62.865,-37.073,121.790,58.721,377.033,238.252
294.864,82585.513,0.976,30.020,439.635,482.158,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-110.072,-583.834,-328.239,-476.833,-460.073,-439.394,-356.023,-421.888,301.790,-148.639,-63.393,-43.447,114.459,45.009,375.890,230.581
294.429,82367.376,0.975,30.025,439.275,483.131,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-110.180,-553.177,-309.421,-454.490,-438.913,-435.552,-369.799,-417.071,309.844,-155.935,-68.983,-47.589,113.412,45.533,375.371,222.572
294.660,82482.385,0.975,30.026,439.585,483.181,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-81.310,-533.890,-270.182,-446.972,-396.263,-389.454,-316.833,-368.791,314.877,-157.290,-68.350,-45.252,116.659,49.406,375.267,230.468
294.775,82541.731,0.975,30.023,439.648,483.436,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-113.640,-589.854,-330.056,-479.026,-454.029,-439.603,-373.645,-455.181,302.014,-161.668,-68.350,-43.978,119.067,57.779,379.525,249.195
294.343,82322.948,0.974,30.030,439.320,480.847,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-173.325,-600.668,-329.094,-477.355,-468.173,-457.772,-375.460,-462.997,300.783,-181.056,-84.488,-61.080,105.244,32.449,376.410,223.023
294.864,82582.865,0.976,29.998,438.980,481.572,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-94.177,-572.575,-317.868,-489.466,-441.936,-428.908,-372.043,-434.094,299.734,-162.815,-70.354,-44.934,116.240,51.290,375.786,232.837
294.425,82366.472,0.975,30.021,439.158,483.935,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-84.230,-565.551,-298.836,-451.984,-441.720,-424.652,-355.705,-429.383,304.878,-163.754,-76.050,-53.113,108.176,36.321,374.229,215.126
294.651,82477.219,0.975,30.017,439.304,481.329,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-100.665,-587.625,-329.629,-479.443,-451.761,-448.220,-377.062,-436.877,302.418,-173.135,-80.469,-56.512,105.244,35.589,373.398,221.782
294.766,82538.114,0.975,30.020,439.545,483.157,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-69.200,-563.099,-305.358,-441.230,-418.182,-401.187,-337.124,-417.393,302.194,-149.265,-64.544,-40.366,119.905,52.755,375.579,230.356
294.340,82316.361,0.974,30.023,439.091,485.085,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-117.749,-624.080,-407.572,-505.232,-499.486,-494.423,-429.814,-618.650,293.694,-160.210,-65.809,-42.385,116.538,52.336,376.410,237.124
294.873,82588.548,0.976,30.015,439.506,486.314,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-172.893,-636.008,-360.528,-477.355,-458.996,-446.559,-387.634,-464.282,293.359,-169.278,-76.989,-51.839,111.302,46.475,376.410,234.304
294.431,82365.504,0.975,30.038,439.648,485.452,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-84.014,-561.538,-317.440,-494.687,-454.677,-434.930,-376.207,-442.229,301.187,-158.855,-69.817,-45.571,114.234,46.580,376.518,228.663
294.656,82480.900,0.975,30.023,439.488,485.806,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-94.826,-561.872,-303.113,-471.091,-447.982,-436.903,-370.334,-475.736,296.378,-162.920,-72.454,-48.758,116.119,50.243,376.310,237.014
294.782,82540.310,0.975,30.015,439.380,485.285,6.210,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-138.725,-576.031,-314.874,-468.376,-466.878,-451.854,-364.247,-419.427,303.424,-159.063,-63.700,-40.897,117.375,50.139,376.310,229.456
