%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.125,82359.950,0.975,29.877,435.376,479.770,5.743,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,396.014,-570.566,-443.564,-678.234,-590.410,-533.275,-420.651,-350.645,350.613,0.418,11.835,-24.861,73.607,-55.178,328.643,-36.148
294.125,82359.950,0.975,29.877,435.376,479.770,5.743,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,398.830,-566.552,-440.997,-672.492,-583.933,-529.434,-422.360,-369.703,348.152,-10.111,3.276,-31.129,73.607,-56.223,329.162,-36.599
294.648,82617.349,0.977,29.836,434.774,477.558,5.732,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,394.390,-570.677,-446.772,-680.740,-591.922,-535.662,-426.739,-361.780,349.382,-17.616,-5.485,-41.222,66.382,-62.911,329.266,-36.373
294.201,82395.596,0.976,29.872,435.312,478.310,5.748,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,399.588,-567.221,-444.098,-679.905,-590.410,-531.925,-420.117,-344.970,349.047,-3.440,4.649,-33.998,68.162,-62.597,329.785,-34.459
294.485,82541.731,0.976,29.862,435.368,479.471,5.733,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,401.970,-562.316,-438.645,-674.371,-586.618,-531.406,-421.185,-373.772,348.600,-5.316,6.234,-31.554,69.419,-61.343,327.916,-43.130
294.529,82560.974,0.977,29.848,434.985,478.142,5.739,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,389.517,-574.245,-447.734,-684.394,-597.091,-542.285,-434.537,-375.806,347.817,-25.225,-9.282,-44.622,65.754,-67.300,327.812,-43.130
294.141,82366.795,0.975,29.864,435.010,476.273,5.743,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,396.014,-572.461,-447.413,-685.229,-595.688,-536.678,-423.684,-357.176,349.494,-10.528,1.479,-34.104,68.686,-60.089,328.850,-35.698
294.646,82620.642,0.977,29.845,435.053,477.595,5.737,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,400.779,-565.772,-441.318,-675.833,-589.425,-533.667,-425.179,-358.569,350.501,-9.068,1.162,-34.954,67.429,-64.060,328.020,-43.017
294.188,82386.620,0.976,29.873,435.288,478.878,5.744,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,391.033,-576.028,-450.621,-687.840,-600.654,-543.427,-432.762,-366.492,349.947,-16.365,-4.114,-38.566,66.382,-64.269,328.435,-40.315
294.481,82539.793,0.976,29.837,434.641,477.050,5.734,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,397.314,-572.349,-449.552,-685.125,-595.580,-536.678,-425.179,-356.856,350.618,-8.860,1.057,-35.910,68.476,-61.239,329.992,-35.360
