%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
293.816,82453.133,0.978,30.009,440.194,484.375,5.809,0.000,0.000,-2074.149,3912.307,104.223,-0.038,0.039,97.350,-926.422,-659.670,-847.698,-730.164,-658.769,-480.036,-376.337,344.176,-6.880,21.133,0.106,115.172,20.519,357.191,134.170
293.816,82453.133,0.978,30.009,440.194,484.375,5.809,0.000,0.000,-2074.149,3912.307,104.223,-0.038,0.039,101.465,-927.982,-661.595,-847.281,-725.203,-651.605,-472.025,-369.056,343.840,-0.625,22.929,2.235,115.382,20.937,358.126,136.089
294.311,82701.426,0.979,29.988,440.149,483.746,5.806,0.000,0.000,-2074.149,3909.795,104.223,-0.036,0.038,100.382,-928.984,-662.771,-849.052,-727.252,-656.070,-477.472,-372.482,343.169,-2.710,22.401,1.596,116.219,21.461,357.503,136.202
294.026,82561.232,0.978,30.012,440.533,484.260,5.814,0.000,0.000,-2074.149,3906.930,104.223,-0.038,0.039,100.058,-932.769,-664.482,-851.867,-729.733,-655.447,-473.627,-370.662,345.406,1.253,24.726,4.257,117.476,23.345,359.060,138.797
293.979,82536.629,0.978,30.015,440.554,485.000,5.804,0.000,0.000,-2074.149,3910.190,104.223,-0.038,0.038,99.408,-931.433,-662.450,-849.679,-731.031,-654.720,-476.191,-373.339,344.959,-1.042,23.986,2.235,115.277,19.158,358.437,134.847
294.334,82713.954,0.979,29.978,439.902,484.034,5.804,0.000,0.000,-2074.149,3917.671,104.223,-0.036,0.038,99.300,-932.881,-662.557,-849.262,-730.384,-654.617,-469.141,-372.696,345.294,1.357,26.628,5.214,118.104,23.973,359.060,140.151
293.830,82458.234,0.978,30.005,440.078,483.808,5.817,0.000,0.000,-2074.149,3908.719,104.223,-0.038,0.039,105.255,-924.754,-656.997,-846.448,-726.933,-652.126,-470.104,-372.589,344.847,0.313,25.888,4.895,118.837,22.403,358.229,135.073
294.314,82701.103,0.979,30.001,440.534,486.010,5.806,0.000,0.000,-2074.149,3917.467,104.223,-0.036,0.038,98.975,-929.652,-660.846,-848.012,-728.443,-653.060,-477.367,-373.018,343.057,-3.127,23.035,1.490,116.743,22.089,359.891,139.587
294.019,82558.391,0.978,29.992,439.942,486.575,5.809,0.000,0.000,-2074.149,3917.671,104.223,-0.038,0.039,104.714,-927.426,-660.205,-846.136,-725.639,-652.229,-471.065,-366.059,347.034,8.875,33.813,12.451,121.454,27.009,359.579,138.346
293.980,82535.338,0.978,30.009,440.382,485.185,5.812,0.000,0.000,-2074.149,3917.671,104.223,-0.038,0.039,104.822,-923.083,-654.216,-840.300,-722.942,-653.060,-472.133,-378.265,344.797,-5.524,24.303,4.576,119.779,23.345,358.437,132.816
294.330,82713.825,0.979,29.997,440.447,482.101,5.805,0.000,0.000,-2074.149,3917.671,104.223,-0.036,0.038,91.828,-938.336,-668.652,-853.431,-729.737,-653.683,-474.590,-371.198,345.244,-3.752,18.914,-2.337,115.382,23.345,361.033,144.778
