%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.353,82501.306,0.976,30.010,439.675,476.056,5.975,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,176.160,220.077,104.402,-208.085,-269.392,-310.545,-271.064,-343.686,336.746,-354.397,-299.559,-322.977,-155.909,-335.664,245.366,-325.222
294.353,82501.306,0.976,30.010,439.675,476.056,5.975,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,173.236,216.091,99.262,-210.382,-268.421,-309.403,-269.141,-339.832,335.292,-344.495,-334.367,-334.664,-179.122,-337.754,247.339,-312.384
294.465,82729.452,0.979,29.972,439.613,478.051,5.956,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,174.211,225.136,108.149,-199.420,-259.783,-300.993,-261.558,-336.192,334.956,-330.840,-303.778,-346.138,-182.050,-356.356,246.093,-322.069
294.424,82704.332,0.979,29.965,439.337,477.447,5.972,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,171.721,234.517,114.360,-197.122,-262.590,-303.588,-262.199,-330.196,334.397,-357.420,-275.932,-342.419,-171.698,-354.475,239.655,-344.703
294.147,82565.236,0.978,29.992,439.777,476.930,5.973,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,160.677,217.096,101.510,-208.398,-267.125,-307.118,-275.229,-356.427,333.055,-360.860,-299.981,-342.101,-170.025,-343.502,236.540,-334.118
294.667,82823.668,0.979,29.964,439.568,475.994,5.963,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,158.836,244.121,129.993,-163.503,-224.476,-268.703,-234.537,-307.283,338.759,-434.345,-318.650,-345.713,-179.854,-356.774,240.175,-346.843
294.139,82557.874,0.978,29.991,439.734,477.908,5.974,0.000,0.000,-2074.149,3909.184,-104.296,-0.037,0.040,145.302,238.537,121.641,-190.649,-254.709,-292.686,-258.140,-339.832,333.279,-419.648,-347.868,-354.531,-152.563,-319.048,252.531,-282.317
294.851,82668.493,0.977,30.008,439.749,475.965,5.964,0.000,0.000,-2074.149,3912.874,-104.296,-0.036,0.038,191.101,201.238,91.552,-221.554,-282.026,-319.370,-274.802,-342.402,332.160,-357.524,-257.684,-366.749,-173.162,-356.042,245.262,-334.906
294.445,82719.766,0.979,29.972,439.581,474.961,5.959,0.000,0.000,-2074.149,3907.266,-104.296,-0.036,0.039,177.676,234.070,113.396,-192.215,-258.704,-302.031,-261.131,-323.879,338.539,-368.365,-287.534,-337.107,-157.373,-328.767,245.886,-317.564
294.152,82565.172,0.978,29.983,439.507,476.039,5.972,0.000,0.000,-2074.149,3905.746,-104.296,-0.037,0.039,173.778,218.883,106.115,-202.969,-262.267,-297.982,-257.072,-318.204,336.079,-408.601,-392.063,-385.022,-180.064,-365.865,248.274,-313.961
