%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.293,82641.952,0.978,29.874,436.510,484.322,5.829,0.000,0.000,-2074.149,3822.998,-104.296,-0.037,0.038,-311.182,-1216.556,-839.534,-972.341,-843.517,-662.511,-483.350,-389.080,347.534,1.149,37.189,27.775,149.957,75.061,382.530,239.681
294.293,82641.952,0.978,29.874,436.510,484.322,5.829,0.000,0.000,-2074.149,3822.998,-104.296,-0.037,0.038,-317.994,-1224.571,-843.164,-970.048,-844.811,-660.330,-477.689,-380.515,349.548,10.233,46.486,38.203,158.754,89.612,384.815,255.366
293.802,82398.373,0.977,29.885,436.297,483.824,5.837,0.000,0.000,-2074.149,3816.173,-104.296,-0.039,0.040,-305.019,-1212.213,-835.048,-962.649,-839.419,-652.544,-478.223,-376.981,348.653,10.859,42.894,31.393,150.690,76.422,382.323,239.342
294.313,82653.576,0.978,29.872,436.505,483.102,5.832,0.000,0.000,-2074.149,3823.571,-104.296,-0.036,0.038,-317.886,-1220.674,-843.270,-979.114,-851.606,-669.363,-489.012,-391.007,344.738,4.177,40.147,31.180,152.575,81.028,382.011,243.179
293.944,82467.339,0.977,29.895,436.726,482.625,5.838,0.000,0.000,-2074.149,3833.296,-104.296,-0.037,0.039,-312.263,-1215.998,-833.446,-961.606,-838.989,-649.740,-475.980,-377.410,348.429,12.843,47.648,39.374,156.241,84.797,383.361,246.451
293.991,82488.714,0.977,29.892,436.687,485.539,5.829,0.000,0.000,-2074.149,3828.508,-104.296,-0.038,0.039,-312.047,-1213.883,-836.009,-968.171,-845.460,-658.981,-485.487,-386.296,347.087,5.012,40.253,30.009,150.272,76.526,381.388,238.327
294.291,82637.432,0.978,29.884,436.802,486.224,5.831,0.000,0.000,-2074.149,3829.486,-104.296,-0.037,0.038,-312.372,-1217.891,-838.785,-971.297,-843.950,-666.041,-483.243,-384.583,349.436,12.530,47.331,38.948,156.764,87.414,382.946,247.918
293.788,82387.007,0.977,29.910,436.980,484.350,5.834,0.000,0.000,-2074.149,3822.137,-104.296,-0.039,0.039,-299.613,-1204.754,-825.758,-954.519,-829.930,-657.839,-477.155,-382.870,346.304,7.936,42.577,34.479,155.612,83.122,383.465,243.066
294.306,82647.828,0.978,29.890,436.995,484.566,5.825,0.000,0.000,-2074.149,3836.408,-104.296,-0.036,0.038,-308.263,-1212.770,-837.290,-969.318,-844.381,-662.926,-479.078,-384.904,345.414,0.104,33.808,24.157,146.711,73.176,381.492,239.681
293.954,82473.991,0.977,29.898,436.830,484.303,5.833,0.000,0.000,-2074.149,3836.129,-104.296,-0.037,0.039,-313.237,-1217.668,-840.493,-972.339,-844.920,-661.265,-480.146,-379.337,346.533,14.619,47.965,38.842,155.717,85.739,382.115,249.272
293.991,82490.974,0.977,29.914,437.343,487.379,5.830,0.000,0.000,-2074.149,3825.918,-104.296,-0.038,0.039,-307.506,-1208.762,-830.349,-959.730,-839.312,-653.374,-477.368,-383.191,346.980,9.606,44.162,34.585,153.623,79.876,382.011,239.906
294.290,82638.077,0.978,29.906,437.437,486.152,5.824,0.000,0.000,-2074.149,3829.986,-104.296,-0.036,0.038,-314.426,-1218.114,-840.280,-972.235,-848.587,-669.156,-486.021,-388.009,346.645,4.803,40.359,30.431,151.842,80.295,381.596,246.000
293.799,82389.978,0.977,29.908,436.925,486.786,5.828,0.000,0.000,-2074.149,3826.568,-104.296,-0.039,0.040,-306.749,-1211.990,-831.951,-961.501,-835.538,-652.544,-475.339,-379.230,345.750,10.964,45.324,35.325,153.182,80.400,381.803,240.809
294.311,82650.799,0.978,29.903,437.383,486.410,5.827,0.000,0.000,-2074.149,3833.064,-104.296,-0.037,0.038,-311.074,-1217.334,-838.251,-971.610,-845.136,-660.642,-481.107,-386.189,346.757,4.281,39.091,28.835,150.355,77.783,382.530,246.000
293.959,82471.795,0.977,29.930,437.763,485.409,5.829,0.000,0.000,-2074.149,3835.246,-104.296,-0.038,0.039,-307.722,-1213.326,-836.009,-967.025,-841.901,-657.112,-477.155,-379.658,347.763,14.723,47.332,36.815,154.334,82.389,381.704,246.564
293.997,82495.559,0.978,29.920,437.522,486.956,5.819,0.000,0.000,-2074.149,3843.287,-104.296,-0.038,0.039,-305.776,-1207.092,-830.776,-963.690,-842.224,-657.319,-481.321,-385.868,347.316,6.370,42.366,31.388,151.612,78.202,381.081,241.636
294.304,82645.891,0.978,29.907,437.500,486.473,5.824,0.000,0.000,-2074.149,3837.584,-104.296,-0.037,0.038,-313.670,-1213.994,-835.048,-967.233,-845.028,-658.981,-476.621,-381.371,345.191,6.787,40.993,30.431,148.785,75.794,380.873,243.666
293.795,82393.659,0.977,29.943,437.978,483.365,5.828,0.000,0.000,-2074.149,3838.233,-104.296,-0.039,0.039,-305.885,-1207.650,-833.659,-970.151,-844.489,-658.358,-485.059,-384.048,346.869,11.486,44.268,33.729,150.565,77.050,379.212,236.221
294.308,82650.605,0.978,29.910,437.595,485.886,5.815,0.000,0.000,-2074.149,3841.175,-104.296,-0.037,0.038,-314.210,-1216.890,-837.398,-969.213,-844.705,-662.822,-481.000,-385.975,346.421,3.446,40.148,34.048,156.847,87.938,381.704,248.517
293.963,82477.349,0.977,29.930,437.781,487.146,5.829,0.000,0.000,-2074.149,3834.490,-104.296,-0.038,0.039,-304.263,-1210.990,-834.835,-962.128,-836.940,-655.243,-473.737,-378.266,346.645,8.040,39.619,30.431,150.669,77.783,382.016,241.749
