%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.268,82688.834,0.979,29.533,426.886,470.327,5.756,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-98.393,-1073.718,-746.315,-904.707,-782.798,-676.735,-463.803,-381.050,342.277,6.578,37.294,21.390,135.925,55.170,369.032,194.994
294.268,82688.834,0.979,29.533,426.886,470.327,5.756,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-98.501,-1073.717,-746.849,-904.394,-780.102,-667.287,-466.580,-381.478,342.725,-0.938,30.427,15.324,134.040,51.611,369.135,195.784
293.847,82476.574,0.978,29.541,426.652,474.251,5.761,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-95.366,-1072.158,-747.488,-905.644,-784.955,-669.571,-469.357,-378.052,343.508,4.177,32.857,15.218,130.270,47.319,368.305,195.107
294.360,82733.649,0.979,29.524,426.724,471.772,5.758,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-97.961,-1072.826,-746.741,-904.081,-783.553,-669.363,-467.755,-376.232,344.402,6.787,36.872,22.135,136.868,56.531,368.928,199.847
293.928,82520.614,0.978,29.542,426.790,468.472,5.765,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-96.663,-1068.707,-742.576,-900.225,-782.476,-665.210,-462.521,-376.874,344.067,3.341,33.491,18.623,133.935,50.773,367.474,190.932
294.083,82595.974,0.978,29.534,426.724,471.581,5.758,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.038,-96.771,-1070.043,-745.780,-903.664,-779.888,-671.544,-462.307,-380.622,340.264,0.522,33.385,19.793,136.030,54.751,368.201,196.236
294.266,82687.155,0.979,29.531,426.830,473.407,5.762,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-100.340,-1073.828,-747.809,-901.372,-778.162,-662.511,-464.871,-375.375,342.725,3.341,33.068,17.984,134.040,52.239,368.720,195.107
293.836,82467.533,0.978,29.549,426.841,471.896,5.763,0.000,0.000,-2074.149,3917.321,-104.296,-0.038,0.040,-102.610,-1072.047,-744.926,-900.329,-781.290,-675.074,-463.803,-378.052,342.613,-1.980,30.110,15.962,133.202,51.087,368.928,194.430
294.363,82736.362,0.979,29.526,426.794,472.435,5.757,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-96.663,-1069.931,-745.246,-901.893,-780.104,-670.090,-460.598,-371.093,344.239,9.293,34.970,18.729,132.679,50.983,368.512,194.430
293.944,82527.201,0.978,29.545,426.873,474.847,5.766,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-98.718,-1068.818,-744.926,-903.664,-787.437,-672.789,-469.464,-382.656,341.667,1.149,32.434,17.984,133.935,50.878,367.578,191.383
