%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.325,82559.553,0.977,29.999,439.703,481.609,6.135,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-123.155,-532.664,-241.100,-359.374,-369.484,-388.727,-348.335,-398.123,313.759,-135.088,-45.039,-27.194,134.461,65.316,377.967,246.600
294.325,82559.553,0.977,29.999,439.703,481.609,6.135,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-104.666,-538.348,-256.069,-360.104,-342.707,-333.387,-278.284,-383.671,321.141,-113.407,-20.674,-9.667,136.660,68.979,377.033,253.030
294.814,82802.681,0.978,29.997,440.207,484.524,6.135,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-158.188,-592.194,-303.219,-415.963,-386.436,-419.978,-387.312,-510.526,306.264,-132.482,-32.804,-14.978,136.555,67.095,377.136,255.286
294.254,82527.007,0.977,30.014,440.072,487.639,6.136,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-243.391,-710.337,-401.370,-551.798,-525.613,-525.985,-474.449,-556.344,292.059,-109.759,-20.463,-3.930,145.352,79.447,376.929,251.451
294.633,82716.343,0.978,29.988,439.763,483.320,6.130,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-194.302,-626.197,-335.188,-428.910,-431.138,-441.263,-373.857,-439.551,302.909,-110.385,-23.733,-7.436,146.399,83.215,380.148,265.665
294.555,82676.500,0.978,30.003,440.090,481.934,6.140,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-221.117,-665.661,-323.855,-482.367,-475.408,-477.187,-422.124,-571.652,289.374,-119.453,-38.289,-19.652,137.707,71.910,380.667,260.137
294.304,82551.869,0.977,30.007,439.915,485.436,6.134,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-247.607,-652.060,-331.018,-440.708,-440.964,-452.165,-398.739,-495.967,296.645,-121.538,-34.808,-16.253,136.660,69.817,377.967,254.045
294.791,82793.188,0.978,29.993,440.071,485.629,6.133,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-173.433,-601.002,-285.364,-400.302,-397.991,-402.536,-353.782,-402.619,317.562,-124.873,-28.690,-9.667,143.258,76.830,378.071,258.783
294.250,82522.035,0.977,30.009,439.900,486.742,6.138,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-194.302,-604.234,-300.439,-443.422,-459.104,-453.203,-391.584,-491.364,296.488,-124.769,-36.496,-18.377,134.461,65.106,376.202,246.826
294.631,82719.701,0.978,29.993,439.926,483.201,6.132,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-174.839,-595.427,-304.502,-438.828,-423.256,-418.317,-356.238,-402.833,311.139,-116.014,-24.366,-6.161,145.457,84.890,378.902,262.957
294.561,82686.574,0.978,30.019,440.596,486.511,6.138,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-183.597,-570.232,-275.741,-398.005,-391.188,-423.197,-387.846,-507.208,293.580,-102.984,-21.936,-10.729,137.498,72.224,379.836,264.762
294.323,82564.849,0.977,30.031,440.655,487.258,6.128,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-238.201,-662.094,-333.798,-463.051,-425.416,-427.973,-360.936,-466.100,312.370,-124.561,-29.846,-12.960,140.221,73.690,380.459,263.070
294.809,82803.197,0.978,29.999,440.260,487.448,6.125,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-248.581,-697.312,-387.791,-506.589,-503.265,-502.936,-450.209,-600.021,289.107,-113.721,-30.374,-14.022,136.118,68.979,376.098,243.329
294.261,82533.659,0.977,30.038,440.792,486.465,6.137,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-143.266,-556.186,-294.880,-381.299,-351.670,-375.541,-356.879,-412.146,301.297,-122.997,-35.330,-20.077,135.175,69.503,378.902,258.219
294.640,82723.188,0.978,30.012,440.474,486.472,6.122,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-197.113,-614.714,-285.685,-426.404,-406.304,-394.645,-332.638,-446.081,308.567,-137.173,-42.924,-21.352,137.269,66.886,377.350,245.359
294.559,82680.181,0.978,30.040,441.191,486.673,6.133,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-119.371,-558.527,-303.326,-436.636,-435.025,-440.225,-380.692,-489.116,298.390,-123.727,-38.600,-22.414,129.416,58.094,374.650,238.932
294.312,82554.581,0.977,30.049,441.171,485.801,6.122,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-137.536,-569.675,-297.125,-382.865,-371.645,-343.977,-306.048,-326.827,330.600,-107.049,-18.456,-0.850,148.159,85.832,379.011,268.827
