%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.384,82602.884,0.977,29.949,438.377,484.244,6.130,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-276.002,-588.073,-302.900,-425.570,-419.153,-411.570,-338.832,-413.861,311.859,-120.496,-27.846,-9.029,141.666,76.621,376.308,263.297
294.384,82602.884,0.977,29.949,438.377,484.244,6.130,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-277.840,-591.750,-311.561,-407.299,-405.225,-407.209,-351.113,-438.054,304.253,-143.219,-39.766,-17.209,142.504,82.273,378.800,273.901
294.873,82846.657,0.979,29.934,438.509,484.758,6.128,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.038,-278.273,-635.228,-317.119,-456.371,-450.142,-449.363,-403.545,-556.667,292.060,-114.346,-35.546,-13.809,139.572,78.086,378.904,268.035
294.329,82573.437,0.977,29.958,438.573,486.741,6.134,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-306.165,-671.794,-379.025,-510.035,-463.638,-471.167,-414.010,-470.277,293.514,-123.206,-37.762,-20.714,136.326,74.946,379.112,266.907
294.696,82759.221,0.978,29.943,438.570,487.565,6.125,0.000,0.000,-2074.149,3915.199,-104.296,-0.035,0.038,-281.192,-612.820,-305.465,-407.819,-412.783,-425.483,-390.090,-484.943,299.890,-122.581,-31.327,-11.260,144.493,84.681,380.358,279.542
294.620,82717.053,0.978,29.962,439.006,486.134,6.131,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-305.949,-657.301,-348.339,-502.831,-482.750,-492.658,-425.222,-558.594,284.342,-111.323,-25.842,-7.117,145.226,82.901,378.904,267.923
294.346,82585.771,0.977,29.989,439.510,487.359,6.124,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-288.111,-621.181,-325.993,-440.917,-443.231,-442.094,-388.701,-455.718,295.416,-130.711,-38.183,-18.802,138.839,74.632,377.658,265.554
294.869,82816.371,0.978,29.963,439.185,486.205,6.115,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.037,-257.840,-594.537,-286.541,-393.097,-377.368,-394.230,-344.812,-444.906,292.620,-128.418,-26.264,-7.436,144.284,81.227,378.073,266.005
294.292,82554.969,0.977,29.986,439.335,485.897,6.126,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-270.164,-600.891,-296.805,-428.492,-421.745,-414.996,-346.094,-472.953,297.049,-150.516,-46.200,-20.289,138.106,73.167,378.177,258.898
294.684,82753.410,0.978,29.976,439.525,488.757,6.117,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-228.651,-576.142,-292.849,-444.362,-408.680,-412.296,-365.208,-460.535,300.740,-128.731,-41.348,-20.820,134.756,70.445,376.723,257.770
294.630,82721.186,0.978,29.979,439.519,488.924,6.121,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-219.137,-596.432,-343.421,-505.128,-488.148,-472.308,-412.835,-455.076,300.405,-126.021,-31.745,-9.135,147.111,85.937,378.281,264.425
294.393,82599.267,0.977,29.995,439.680,485.380,6.120,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-250.489,-584.280,-298.943,-398.005,-402.525,-428.285,-393.614,-447.903,300.628,-121.017,-28.053,-4.993,150.252,92.845,379.527,279.880
294.900,82850.079,0.979,29.974,439.637,484.533,6.114,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.038,-291.354,-589.074,-293.383,-408.759,-401.986,-416.865,-391.051,-494.470,287.878,-122.894,-32.272,-11.897,144.180,83.529,378.281,271.758
294.336,82577.118,0.977,29.996,439.700,488.482,6.123,0.000,0.000,-2074.149,3916.393,-104.296,-0.036,0.040,-252.326,-549.498,-245.912,-341.833,-364.951,-380.318,-340.968,-388.383,313.937,-108.196,-17.929,-2.868,146.484,84.577,378.177,265.892
294.712,82762.321,0.978,29.977,439.552,486.295,6.113,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-269.840,-618.617,-303.648,-455.429,-426.064,-416.553,-364.568,-485.478,300.181,-133.005,-34.170,-12.747,141.667,78.505,377.454,260.703
294.618,82715.827,0.978,29.978,439.465,486.689,6.121,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-239.029,-585.618,-305.465,-409.176,-379.311,-364.743,-310.214,-416.216,309.240,-123.832,-31.534,-10.729,145.751,85.728,379.011,268.263
294.352,82586.352,0.977,29.995,439.692,485.060,6.120,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-247.462,-594.760,-294.987,-415.858,-406.952,-411.985,-372.577,-447.154,304.766,-138.425,-42.713,-18.590,141.772,80.076,379.011,266.571
294.842,82829.673,0.979,29.968,439.456,487.318,6.114,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,-223.786,-579.822,-281.729,-405.731,-395.183,-392.465,-343.745,-452.399,297.832,-127.584,-41.236,-24.326,132.977,68.980,376.831,257.659
294.332,82551.611,0.977,29.994,439.512,490.000,6.125,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,-219.894,-563.100,-305.251,-436.218,-416.670,-443.029,-383.896,-436.770,310.247,-117.161,-25.944,-5.418,145.437,84.158,377.661,268.827
294.678,82753.539,0.978,29.979,439.615,486.801,6.114,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,-212.867,-544.036,-244.736,-361.880,-346.811,-350.623,-316.941,-414.289,308.904,-130.607,-33.221,-13.916,140.306,76.098,377.350,261.720
