%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
293.873,82422.072,0.977,29.986,439.261,476.742,5.712,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,356.596,-45.373,-101.587,-391.842,-382.810,-374.444,-292.789,-294.970,352.401,-37.420,-46.410,-109.004,-13.489,-214.231,241.523,-455.286
293.873,82422.072,0.977,29.986,439.261,476.742,5.712,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,363.093,-41.806,-100.732,-391.111,-380.867,-368.734,-282.427,-280.730,353.072,-26.163,-39.976,-106.454,-12.652,-213.604,241.419,-452.020
294.369,82670.042,0.978,29.961,439.108,480.137,5.708,0.000,0.000,-2074.149,3917.671,104.223,-0.034,0.038,364.068,-38.907,-100.518,-394.244,-387.453,-377.766,-295.459,-297.111,354.190,-38.462,-44.195,-111.979,-17.567,-214.126,239.965,-458.214
293.832,82404.507,0.977,29.971,438.798,478.581,5.717,0.000,0.000,-2074.149,3917.671,104.223,-0.036,0.039,359.953,-40.245,-97.738,-384.637,-376.009,-367.800,-287.020,-287.475,350.052,-31.896,-40.187,-104.011,-6.797,-197.615,242.873,-448.867
294.167,82567.819,0.978,29.970,439.135,477.343,5.712,0.000,0.000,-2074.149,3917.671,-47.701,-0.035,0.038,363.418,-40.914,-99.021,-386.308,-375.038,-365.101,-284.350,-287.796,349.046,-38.358,-49.364,-115.379,-18.613,-219.142,240.900,-455.399
294.108,82541.472,0.978,29.984,439.479,479.390,5.713,0.000,0.000,-2074.149,3917.671,-40.294,-0.036,0.039,356.921,-46.934,-107.148,-400.298,-390.800,-378.077,-292.789,-290.794,347.927,-31.166,-41.242,-109.960,-13.280,-210.991,241.834,-451.570
293.866,82416.712,0.977,29.988,439.289,479.736,5.708,0.000,0.000,-2074.149,3917.671,9.828,-0.036,0.039,365.692,-36.232,-96.241,-382.654,-375.470,-366.866,-284.991,-283.513,352.177,-28.769,-38.394,-102.417,-6.483,-204.198,243.288,-444.926
294.369,82669.203,0.978,29.976,439.535,478.607,5.708,0.000,0.000,-2074.149,3917.671,-39.583,-0.035,0.038,364.609,-38.238,-97.417,-384.011,-375.038,-364.582,-285.739,-288.974,352.625,-38.045,-50.418,-115.060,-18.822,-216.321,241.523,-457.426
293.851,82410.384,0.977,29.989,439.330,478.548,5.712,0.000,0.000,-2074.149,3917.671,99.092,-0.036,0.039,353.672,-47.603,-106.399,-398.523,-389.504,-376.105,-291.507,-290.152,350.225,-33.668,-44.406,-109.854,-14.116,-210.364,241.004,-451.570
294.180,82570.660,0.978,29.981,439.454,476.697,5.707,0.000,0.000,-2074.149,3917.671,-55.965,-0.035,0.038,364.176,-36.009,-96.027,-382.862,-373.743,-363.544,-281.466,-278.267,351.008,-27.309,-39.132,-106.136,-12.652,-221.755,242.457,-448.079
294.113,82544.120,0.978,29.975,439.220,476.757,5.710,0.000,0.000,-2074.149,3917.671,-12.876,-0.035,0.038,362.119,-41.248,-102.336,-394.974,-389.073,-379.531,-297.275,-297.646,349.666,-40.130,-48.626,-114.954,-17.149,-218.411,239.862,-456.187
293.860,82418.391,0.977,29.981,439.101,478.818,5.712,0.000,0.000,-2074.149,3917.671,-40.821,-0.037,0.039,360.386,-37.681,-97.524,-386.517,-379.249,-369.253,-288.302,-286.832,352.015,-28.248,-36.918,-101.127,-8.261,-199.496,242.146,-444.813
294.370,82668.170,0.978,29.974,439.473,478.203,5.710,0.000,0.000,-2074.149,3917.671,7.634,-0.034,0.037,368.941,-32.664,-95.064,-380.983,-370.828,-359.703,-278.475,-280.087,352.686,-33.251,-45.356,-111.538,-17.146,-217.784,242.042,-451.908
293.855,82413.354,0.977,30.001,439.684,478.428,5.712,0.000,0.000,-2074.149,3917.671,-32.165,-0.037,0.039,356.704,-43.589,-105.223,-399.568,-391.124,-378.181,-291.934,-289.295,354.476,-31.062,-43.246,-112.069,-21.328,-219.979,239.862,-458.552
294.182,82576.601,0.978,29.975,439.287,479.237,5.703,0.000,0.000,-2074.149,3917.671,-100.984,-0.035,0.038,357.246,-39.799,-99.235,-388.605,-382.056,-372.887,-292.041,-292.079,350.449,-32.521,-39.238,-106.757,-8.573,-203.781,242.771,-444.025
294.108,82541.279,0.978,29.977,439.285,478.701,5.713,0.000,0.000,-2074.149,3917.671,102.647,-0.036,0.038,369.374,-32.553,-96.454,-383.593,-375.902,-365.516,-285.632,-284.477,348.212,-31.687,-47.044,-114.406,-24.151,-213.291,239.656,-459.568
