%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.311,82695.356,0.979,29.986,440.060,476.699,5.929,0.000,0.000,-2074.149,3845.129,-104.296,-0.036,0.038,190.155,211.065,101.081,-191.901,-247.650,-286.101,-244.720,-306.104,333.611,-374.617,-274.981,-344.436,-153.189,-334.303,250.244,-295.603
294.311,82695.356,0.979,29.986,440.060,476.699,5.929,0.000,0.000,-2074.149,3845.129,-104.296,-0.036,0.038,194.703,197.440,88.982,-212.052,-264.491,-298.350,-256.683,-316.811,335.513,-299.881,-382.779,-377.689,-183.095,-366.490,242.872,-325.670
293.954,82519.904,0.978,29.998,439.999,478.298,5.933,0.000,0.000,-2074.149,3851.921,-104.296,-0.038,0.039,179.110,211.176,97.762,-205.161,-263.627,-299.388,-256.043,-314.134,336.519,-306.760,-309.366,-338.486,-171.593,-341.828,242.561,-318.463
294.495,82790.024,0.979,29.989,440.370,478.694,5.928,0.000,0.000,-2074.149,3855.173,-104.296,-0.035,0.038,187.448,211.399,96.905,-205.682,-261.792,-294.717,-254.761,-316.168,333.276,-350.122,-276.879,-341.142,-158.522,-306.506,246.922,-311.594
293.991,82538.889,0.978,30.008,440.349,477.221,5.932,0.000,0.000,-2074.149,3843.298,-104.296,-0.038,0.039,193.512,190.404,82.771,-221.552,-275.395,-309.043,-268.220,-333.834,331.039,-353.874,-273.820,-357.822,-178.808,-352.591,236.746,-359.116
294.298,82692.127,0.979,29.989,440.159,477.144,5.925,0.000,0.000,-2074.149,3848.958,-104.296,-0.036,0.038,177.052,203.582,88.767,-215.079,-270.537,-304.060,-256.043,-306.960,336.072,-348.350,-257.366,-333.387,-176.925,-363.146,236.642,-361.480
294.331,82706.463,0.979,29.987,440.132,477.986,5.932,0.000,0.000,-2074.149,3828.434,-104.296,-0.036,0.039,166.548,214.414,103.972,-193.258,-249.054,-283.817,-240.341,-289.723,338.644,-426.212,-319.703,-386.295,-169.501,-342.664,247.337,-291.662
293.976,82529.138,0.978,30.020,440.686,476.979,5.932,0.000,0.000,-2074.149,3823.409,-104.296,-0.038,0.040,189.397,204.587,97.012,-208.188,-266.866,-301.672,-258.927,-320.344,333.947,-314.891,-309.683,-326.268,-172.011,-322.704,247.856,-302.698
294.506,82798.096,0.979,29.987,440.338,476.366,5.920,0.000,0.000,-2074.149,3806.323,-104.296,-0.036,0.038,197.627,195.318,83.092,-218.733,-270.321,-304.164,-263.841,-331.158,335.573,-314.369,-264.011,-312.776,-168.560,-331.795,249.102,-304.612
293.991,82540.052,0.978,30.007,440.323,477.132,5.934,0.000,0.000,-2074.149,3806.927,-104.296,-0.038,0.040,198.602,203.805,90.480,-211.947,-262.008,-296.585,-251.343,-307.175,337.698,-356.066,-312.953,-339.124,-166.783,-325.212,247.856,-304.162
