%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
293.973,82406.186,0.977,30.015,439.863,486.215,5.760,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,319.453,-704.211,-529.966,-746.930,-643.847,-582.480,-471.068,-347.861,347.704,-2.919,11.095,-20.930,85.229,-28.007,339.337,31.822
293.973,82406.186,0.977,30.015,439.863,486.215,5.760,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,322.918,-699.313,-524.833,-738.802,-634.887,-574.486,-466.582,-348.075,348.151,-1.355,13.842,-16.255,91.197,-20.378,341.621,40.398
294.473,82654.803,0.978,29.996,439.909,486.457,5.754,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,328.224,-694.748,-521.410,-738.906,-639.745,-580.404,-471.282,-354.070,347.927,-6.984,8.136,-23.267,82.192,-34.068,339.025,30.581
293.968,82401.020,0.976,30.011,439.745,484.932,5.762,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,321.186,-698.645,-524.832,-744.742,-644.279,-585.179,-477.050,-356.105,346.362,-8.443,7.502,-23.373,82.611,-32.291,338.091,27.986
294.248,82544.443,0.977,30.002,439.810,486.398,5.755,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,318.478,-704.323,-526.543,-740.156,-636.183,-575.940,-465.941,-348.289,347.927,-0.730,15.533,-13.174,94.338,-16.720,340.479,38.593
294.305,82571.048,0.977,29.996,439.693,484.287,5.760,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,326.925,-697.198,-524.297,-740.052,-636.076,-572.825,-466.688,-347.218,347.816,-7.505,8.242,-22.948,84.705,-30.515,339.337,30.468
293.976,82405.411,0.977,30.003,439.525,485.354,5.761,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,320.644,-702.096,-530.927,-749.640,-646.331,-586.113,-475.768,-353.642,346.809,-10.736,5.917,-22.630,84.810,-28.320,339.752,35.659
294.481,82660.744,0.978,29.982,439.491,483.737,5.758,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,328.874,-696.307,-522.372,-734.529,-631.973,-570.334,-464.552,-343.364,347.480,-1.564,13.948,-14.555,92.139,-20.692,340.375,35.433
293.964,82402.764,0.977,29.996,439.317,482.287,5.766,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,321.186,-701.428,-529.002,-745.263,-645.252,-583.310,-469.466,-357.175,346.310,-12.612,1.691,-30.279,77.899,-37.934,339.648,28.550
294.233,82537.921,0.977,29.971,438.900,482.853,5.760,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,321.619,-702.987,-530.178,-746.722,-645.036,-580.819,-468.718,-348.610,346.870,0.418,16.061,-12.643,92.872,-17.452,340.894,41.640
294.293,82564.138,0.977,29.975,439.052,484.902,5.770,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,331.906,-690.518,-518.095,-732.966,-633.161,-573.241,-464.873,-357.604,346.981,-9.902,5.494,-22.948,84.496,-33.023,338.921,24.713
293.974,82402.053,0.976,29.992,439.185,483.699,5.767,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,318.695,-704.100,-529.537,-748.702,-645.144,-582.999,-470.641,-352.357,346.310,-5.629,10.248,-19.546,86.485,-25.812,339.856,34.756
294.486,82661.131,0.978,29.957,438.763,482.186,5.761,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,327.791,-696.196,-521.089,-734.946,-630.678,-567.323,-461.561,-339.081,349.330,3.863,18.806,-10.729,93.725,-18.497,341.310,38.029
293.982,82409.609,0.977,29.975,438.696,482.271,5.774,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,324.759,-697.977,-523.548,-738.697,-634.888,-574.798,-467.650,-351.287,348.436,-10.111,6.550,-22.732,87.965,-25.917,341.517,36.787
294.250,82543.539,0.977,29.978,439.096,483.519,5.766,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,322.702,-701.539,-528.574,-745.992,-639.638,-575.628,-463.270,-347.111,350.113,-5.107,8.135,-24.007,83.358,-29.992,341.314,39.157
294.284,82557.487,0.977,29.953,438.406,482.518,5.766,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,332.231,-690.740,-519.271,-736.300,-633.269,-573.448,-462.843,-343.578,350.561,-1.668,12.467,-18.165,86.604,-28.007,340.275,29.217
293.966,82402.570,0.977,29.967,438.456,481.467,5.775,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,319.236,-699.981,-522.265,-739.739,-638.774,-578.327,-471.602,-352.250,345.527,-8.547,9.720,-19.121,89.850,-23.827,340.171,33.843
294.500,82665.845,0.978,29.957,438.760,483.033,5.769,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,324.326,-698.309,-523.655,-738.489,-634.132,-571.580,-460.066,-342.507,348.436,-5.107,10.143,-19.652,88.803,-23.200,341.210,39.145
