%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
293.653,82477.219,0.978,29.999,440.263,477.948,5.738,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,294.979,35.512,-43.629,-337.549,-344.486,-343.611,-268.754,-267.667,349.828,-37.003,-48.942,-118.353,-24.259,-239.102,225.947,-507.987
293.653,82477.219,0.978,29.999,440.263,477.948,5.738,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,295.087,35.289,-44.057,-335.670,-338.116,-334.476,-260.636,-258.887,343.900,-31.791,-49.575,-122.391,-28.024,-239.415,225.635,-510.802
294.119,82709.240,0.980,29.991,440.576,478.526,5.734,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,285.233,27.137,-51.863,-347.886,-352.906,-349.840,-273.027,-269.380,353.854,-39.192,-53.161,-122.815,-30.742,-224.785,224.389,-514.293
293.598,82451.583,0.978,30.001,440.257,478.271,5.737,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,290.972,33.279,-47.692,-341.516,-346.105,-342.781,-267.045,-267.024,351.729,-35.961,-48.098,-119.097,-22.168,-227.606,227.920,-503.708
293.991,82644.729,0.979,30.005,440.821,477.874,5.734,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,299.635,39.309,-43.094,-335.670,-339.520,-336.449,-261.490,-262.635,350.387,-35.440,-53.477,-126.109,-31.265,-227.606,225.012,-513.843
293.793,82543.151,0.979,29.988,440.096,478.270,5.733,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,284.258,24.792,-52.611,-349.451,-353.555,-349.321,-274.095,-273.663,352.959,-42.736,-54.110,-123.028,-28.965,-238.997,223.870,-517.108
293.641,82473.216,0.978,29.996,440.160,479.833,5.739,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,288.806,31.827,-46.837,-340.577,-346.106,-342.677,-265.549,-263.170,354.525,-36.273,-46.516,-115.591,-21.959,-221.336,226.258,-508.888
294.116,82703.815,0.980,29.996,440.704,479.578,5.735,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,293.246,36.071,-45.019,-336.818,-340.492,-337.902,-265.656,-268.630,350.499,-42.319,-59.279,-128.128,-30.952,-249.656,224.597,-513.730
293.598,82449.839,0.978,30.001,440.265,479.702,5.735,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,284.583,25.908,-54.215,-351.331,-354.094,-349.321,-273.133,-271.628,349.441,-42.840,-56.747,-128.340,-30.952,-226.770,225.843,-514.744
294.002,82650.993,0.979,29.998,440.641,477.975,5.734,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,293.029,34.284,-48.441,-340.890,-345.458,-340.809,-262.879,-258.566,345.079,-30.228,-46.410,-118.566,-27.396,-249.761,225.532,-508.888
293.811,82556.518,0.979,29.998,440.422,478.724,5.735,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,295.845,38.081,-44.484,-341.412,-349.668,-348.698,-273.881,-270.986,345.414,-38.046,-51.368,-121.966,-28.233,-241.505,223.559,-518.685
293.628,82464.240,0.978,29.995,440.103,478.012,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,287.290,28.477,-48.441,-341.621,-347.077,-344.650,-271.424,-270.879,351.007,-41.589,-55.587,-127.278,-29.278,-250.074,224.701,-514.518
294.092,82696.970,0.980,29.984,440.324,478.137,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,291.838,36.182,-44.805,-338.593,-345.242,-341.328,-262.986,-255.997,341.052,-29.603,-47.465,-118.567,-25.197,-241.401,224.805,-513.167
293.598,82452.552,0.978,30.006,440.411,479.920,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,291.622,37.299,-42.987,-339.324,-346.969,-345.169,-272.386,-272.913,344.855,-43.153,-50.735,-121.860,-30.529,-232.833,223.870,-517.108
294.012,82656.546,0.979,29.985,440.277,478.376,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,284.041,24.568,-54.108,-347.363,-349.560,-345.999,-270.997,-271.950,345.974,-46.488,-60.017,-128.128,-28.647,-237.013,226.364,-512.491
293.820,82562.976,0.979,29.993,440.301,478.236,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,293.571,35.736,-47.799,-340.681,-341.895,-336.137,-258.927,-254.498,349.665,-30.645,-48.731,-119.310,-25.929,-233.042,227.922,-506.414
293.634,82465.015,0.978,30.009,440.517,481.137,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,295.193,36.852,-45.340,-341.308,-347.509,-342.573,-267.793,-268.202,351.567,-39.401,-53.267,-123.879,-30.738,-250.807,224.287,-515.086
294.086,82693.742,0.980,29.982,440.258,478.576,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,284.473,29.259,-49.082,-344.753,-349.776,-350.048,-276.658,-278.802,346.309,-42.006,-51.368,-123.454,-27.288,-226.458,224.703,-515.986
293.590,82442.284,0.978,30.009,440.454,478.671,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,290.429,35.289,-43.950,-335.670,-339.520,-339.459,-267.152,-265.740,345.303,-39.818,-52.001,-121.966,-25.092,-243.179,226.468,-511.707
294.014,82656.352,0.979,30.001,440.741,479.212,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,291.187,34.842,-45.874,-340.681,-343.623,-339.148,-262.452,-260.815,348.882,-36.378,-53.794,-126.216,-31.052,-247.150,225.845,-513.847
