%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.377,82443.640,0.976,30.000,439.035,488.354,5.855,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1022.754,-1558.182,-1064.739,-1084.318,-834.357,-697.495,-508.086,-367.506,345.526,10.232,58.425,62.042,187.135,136.807,393.023,328.950
294.377,82443.640,0.976,30.000,439.035,488.354,5.855,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1032.581,-1569.977,-1076.484,-1087.548,-846.436,-707.138,-517.697,-371.253,345.750,6.055,53.565,58.849,187.031,139.319,392.920,333.576
294.678,82582.994,0.976,29.972,438.496,487.179,5.859,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1028.261,-1565.637,-1070.123,-1085.776,-834.573,-693.970,-504.456,-354.339,346.980,15.243,62.440,67.682,192.686,147.275,394.581,342.488
294.319,82405.799,0.975,29.998,438.860,489.261,5.869,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1021.242,-1560.517,-1072.472,-1088.232,-849.132,-706.101,-514.600,-371.146,344.743,6.995,55.361,56.721,183.261,131.469,391.985,328.838
294.633,82562.847,0.976,29.980,438.711,491.462,5.858,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1030.961,-1567.418,-1072.365,-1093.964,-845.142,-703.509,-514.707,-371.574,345.526,11.902,61.066,66.511,190.801,143.402,393.543,335.493
294.487,82492.072,0.976,29.984,438.663,488.738,5.865,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,-1028.369,-1567.529,-1072.258,-1081.875,-840.504,-698.427,-509.795,-363.438,347.540,6.786,54.622,59.488,188.287,140.471,394.996,336.170
294.394,82441.767,0.976,29.993,438.797,486.960,5.863,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1033.013,-1568.308,-1073.966,-1090.108,-852.152,-706.100,-513.611,-371.360,345.303,6.786,56.735,60.020,187.031,137.017,393.854,334.817
294.685,82588.677,0.976,29.995,439.199,490.887,5.860,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1030.421,-1565.303,-1066.386,-1083.855,-846.436,-697.287,-511.689,-363.601,344.855,11.589,61.912,66.830,192.686,145.286,394.166,335.945
294.319,82403.280,0.975,29.993,438.704,488.406,5.860,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,-1034.200,-1567.195,-1072.151,-1081.562,-844.710,-701.123,-509.873,-369.490,346.704,9.187,57.052,60.445,187.868,139.215,394.685,334.140
294.630,82559.101,0.976,29.977,438.595,486.999,5.862,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1033.552,-1569.755,-1073.646,-1090.003,-845.142,-702.263,-511.582,-369.383,347.039,9.188,57.474,60.765,186.717,137.749,394.166,333.350
