%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.353,82715.439,0.979,30.026,441.265,480.735,6.016,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,143.052,264.407,143.166,-161.625,-231.819,-280.852,-250.627,-333.358,334.566,-355.546,-317.176,-343.431,-184.638,-373.810,240.696,-342.003
294.353,82715.439,0.979,30.026,441.265,480.735,6.016,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,114.896,249.891,133.314,-179.374,-255.789,-308.159,-276.256,-361.834,327.072,-382.856,-354.937,-368.819,-183.069,-359.702,241.319,-330.066
294.123,82600.301,0.978,30.042,441.486,480.876,6.018,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.040,126.050,252.124,132.671,-177.704,-250.823,-299.333,-261.626,-336.034,332.217,-357.110,-300.299,-347.043,-179.515,-350.506,238.619,-332.994
294.602,82838.972,0.980,30.036,441.870,483.804,6.011,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,129.191,266.974,147.234,-154.838,-228.796,-278.568,-248.918,-333.358,333.224,-421.006,-333.630,-360.427,-180.978,-354.895,236.439,-356.417
294.053,82566.398,0.978,30.058,441.863,483.168,6.014,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,108.616,247.546,129.673,-183.863,-255.142,-302.863,-270.810,-356.053,330.875,-410.582,-335.634,-355.116,-176.064,-342.877,242.980,-318.354
294.459,82771.232,0.979,30.014,441.068,478.283,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.038,133.198,246.206,127.531,-180.105,-248.232,-293.830,-259.704,-339.995,330.763,-335.429,-306.206,-360.640,-183.278,-349.983,243.915,-324.210
294.363,82721.638,0.979,30.041,441.730,479.077,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,131.032,264.295,138.132,-168.307,-241.861,-291.753,-263.975,-349.523,331.211,-356.588,-318.441,-341.731,-177.110,-347.579,244.849,-319.480
294.127,82603.271,0.978,30.052,441.795,482.321,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.040,129.191,245.313,127.959,-185.430,-259.569,-306.600,-272.945,-351.022,329.309,-352.523,-308.526,-349.380,-180.560,-359.911,241.215,-340.088
294.610,82844.784,0.980,30.022,441.462,479.484,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.038,122.477,255.362,133.635,-174.676,-249.419,-297.152,-263.868,-348.238,329.819,-381.396,-304.624,-345.449,-175.123,-341.623,246.303,-310.922
294.073,82575.374,0.978,30.022,440.833,477.370,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,137.529,254.692,134.705,-173.423,-244.669,-292.169,-260.238,-343.314,333.062,-375.144,-301.881,-341.094,-190.388,-364.405,244.746,-339.751
294.462,82770.328,0.979,30.028,441.469,479.826,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,113.922,254.804,137.061,-168.098,-238.730,-288.015,-257.675,-345.776,328.924,-408.812,-356.363,-385.709,-190.806,-367.540,241.111,-340.314
294.350,82709.046,0.979,30.028,441.311,479.131,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,113.705,257.818,136.954,-171.334,-240.026,-285.005,-249.986,-330.896,330.042,-366.701,-311.541,-338.653,-166.341,-323.021,250.353,-295.945
294.117,82598.170,0.978,30.019,440.801,477.911,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,144.676,254.469,132.243,-180.209,-251.039,-296.633,-262.907,-343.742,330.602,-359.613,-329.469,-364.254,-182.966,-370.257,245.472,-324.773
294.609,82844.203,0.980,29.995,440.668,477.486,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.038,130.490,245.201,128.923,-182.924,-256.762,-304.316,-265.257,-338.604,330.378,-336.264,-324.513,-385.287,-199.381,-388.130,235.712,-367.341
294.067,82568.659,0.978,30.022,440.795,477.513,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.040,101.793,261.950,140.595,-164.235,-238.082,-286.043,-253.937,-334.964,333.398,-413.815,-315.970,-354.481,-175.229,-354.793,239.868,-334.796
294.459,82770.006,0.979,30.011,440.957,480.223,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,117.171,264.183,141.987,-163.504,-236.787,-285.316,-256.714,-344.920,331.049,-373.372,-347.082,-381.569,-178.052,-361.481,239.660,-338.402
294.357,82720.411,0.979,29.998,440.489,478.946,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,120.419,245.313,130.208,-179.687,-253.414,-301.824,-267.606,-345.562,331.720,-390.571,-330.208,-363.617,-174.288,-356.152,237.064,-344.258
294.133,82603.142,0.978,29.990,439.943,473.642,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.040,117.170,259.381,138.881,-162.042,-235.167,-283.655,-252.763,-332.181,332.503,-380.981,-315.548,-357.881,-183.384,-344.970,242.672,-328.492
294.620,82851.371,0.980,29.976,440.123,474.427,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.038,128.216,255.696,132.028,-179.583,-252.983,-300.786,-269.528,-361.191,330.266,-382.857,-335.059,-363.936,-204.504,-384.681,239.141,-358.785
294.084,82581.638,0.978,30.013,440.597,478.817,6.008,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,108.399,250.783,128.602,-186.474,-258.489,-302.344,-259.917,-333.251,330.042,-410.480,-357.312,-408.232,-199.276,-379.665,238.414,-354.618
