%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.471,82526.943,0.976,29.999,439.297,476.507,5.927,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,198.897,205.450,92.623,-204.744,-255.248,-288.118,-241.266,-293.151,332.160,-286.749,-269.919,-436.550,-201.500,-348.100,251.597,-374.996
294.471,82526.943,0.976,29.999,439.297,476.507,5.927,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,167.281,189.959,80.523,-220.823,-265.829,-290.714,-241.907,-289.939,332.608,-342.932,-240.913,-381.304,-194.703,-372.763,245.989,-344.591
294.327,82453.133,0.976,30.010,439.460,478.773,5.922,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,188.936,192.192,81.165,-220.510,-265.721,-292.894,-245.965,-300.324,332.272,-320.625,-261.481,-320.002,-199.408,-378.928,240.798,-360.131
294.637,82607.856,0.977,29.984,439.056,476.592,5.919,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,185.904,204.365,92.515,-206.937,-254.276,-283.965,-235.285,-279.553,333.950,-347.414,-291.964,-438.569,-200.454,-376.838,235.502,-402.361
294.280,82437.247,0.976,29.998,439.075,475.797,5.928,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,158.187,208.832,93.158,-209.442,-257.840,-284.380,-235.819,-291.973,330.035,-396.091,-328.460,-366.324,-160.091,-350.503,246.197,-321.731
294.540,82564.009,0.977,29.994,439.243,476.661,5.922,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.039,197.273,197.329,93.800,-198.793,-245.315,-276.801,-231.867,-281.052,332.384,-329.589,-283.948,-380.242,-188.324,-370.777,250.454,-338.059
294.433,82510.928,0.976,29.995,439.148,477.417,5.924,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,193.375,188.954,79.666,-220.927,-268.097,-298.293,-256.004,-318.740,334.397,-332.091,-259.688,-293.123,-151.203,-325.005,254.296,-307.316
294.296,82440.928,0.976,29.983,438.648,475.563,5.924,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,214.597,188.842,80.416,-219.779,-267.665,-296.217,-249.276,-297.754,331.378,-370.449,-271.290,-380.560,-183.828,-332.947,256.269,-311.033
294.618,82599.074,0.977,30.005,439.637,475.981,5.928,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,210.915,188.954,85.127,-210.904,-258.920,-286.457,-235.819,-275.484,337.310,-274.241,-420.753,-418.383,-247.718,-508.721,235.710,-403.937
294.270,82429.885,0.976,30.024,439.817,478.626,5.920,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,154.180,218.436,102.045,-192.528,-245.531,-280.746,-238.275,-288.761,335.073,-321.565,-285.425,-351.981,-176.299,-337.336,254.296,-286.258
294.562,82567.173,0.976,29.997,439.330,476.638,5.914,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,216.870,177.786,73.670,-235.440,-287.964,-316.982,-267.325,-314.243,333.284,-309.474,-226.008,-329.776,-150.053,-333.469,248.066,-341.663
294.470,82525.457,0.976,29.993,439.114,475.663,5.925,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,203.228,191.634,82.771,-211.426,-257.408,-284.173,-234.110,-277.626,335.744,-427.573,-298.989,-362.871,-164.065,-329.080,245.782,-322.519
294.328,82456.943,0.976,30.012,439.530,478.081,5.925,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,191.210,195.766,86.091,-212.888,-262.159,-292.375,-245.111,-292.187,333.396,-348.041,-317.128,-370.201,-220.010,-402.337,245.055,-350.334
294.629,82608.954,0.977,29.995,439.390,478.560,5.918,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,186.771,198.111,87.697,-211.008,-260.647,-293.725,-253.762,-311.459,333.843,-349.500,-287.493,-289.575,-161.139,-334.099,242.251,-346.730
294.265,82424.913,0.976,30.006,439.276,476.970,5.918,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,180.707,205.370,92.623,-203.595,-252.225,-278.878,-228.877,-261.459,337.198,-389.110,-316.179,-403.768,-184.039,-393.039,242.566,-351.235
294.531,82557.100,0.976,29.999,439.370,475.696,5.921,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,188.719,188.730,79.131,-220.614,-267.018,-293.309,-248.421,-305.999,332.836,-346.790,-312.066,-325.161,-209.867,-346.431,243.916,-347.747
294.428,82506.601,0.976,30.019,439.854,476.829,5.923,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,186.799,200.010,88.339,-212.679,-266.478,-299.124,-254.296,-296.898,337.981,-360.445,-347.291,-357.347,-204.848,-366.600,244.746,-347.522
294.298,82441.380,0.976,30.012,439.487,475.845,5.916,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,178.027,209.836,97.227,-200.568,-253.737,-280.850,-236.780,-279.660,335.297,-388.276,-271.990,-404.831,-208.508,-375.065,246.408,-322.634
294.616,82598.622,0.977,29.988,439.161,476.337,5.919,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,199.577,183.704,77.739,-225.521,-276.843,-308.572,-263.694,-317.241,332.725,-315.832,-262.287,-301.260,-177.033,-327.724,253.469,-293.693
