%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.139,82530.042,0.977,29.972,439.016,470.407,5.710,0.000,0.000,-2074.149,3858.219,-104.296,-0.036,0.038,-47.358,211.957,93.264,-201.715,-241.387,-259.667,-204.449,-221.306,345.296,-61.081,-75.744,-169.242,-96.604,-349.768,170.809,-909.367
294.139,82530.042,0.977,29.972,439.016,470.407,5.710,0.000,0.000,-2074.149,3858.219,-104.296,-0.036,0.038,-47.467,220.778,94.442,-202.550,-243.114,-261.121,-204.983,-221.734,346.750,-53.055,-70.364,-158.831,-91.690,-349.350,175.170,-934.557
294.181,82551.094,0.978,29.981,439.334,469.721,5.715,0.000,0.000,-2074.149,3865.757,-104.296,-0.036,0.038,-54.711,219.103,97.332,-197.329,-238.580,-259.667,-208.080,-227.944,345.408,-62.332,-75.744,-163.612,-103.295,-348.932,142.566,-876.529
293.824,82372.736,0.977,29.986,439.079,472.365,5.711,0.000,0.000,-2074.149,3862.583,-104.296,-0.038,0.039,-29.085,208.270,91.657,-201.505,-238.580,-255.618,-204.235,-224.839,345.184,-64.312,-75.639,-164.887,-106.954,-365.026,174.962,-915.327
294.352,82632.072,0.978,29.972,439.263,472.341,5.710,0.000,0.000,-2074.149,3864.656,-104.296,-0.036,0.038,-48.548,215.082,93.264,-202.445,-241.064,-256.864,-201.137,-218.522,346.862,-51.179,-67.305,-182.523,-101.309,-351.754,141.320,-882.602
293.855,82385.328,0.977,29.982,438.983,469.353,5.715,0.000,0.000,-2074.149,3860.841,-104.296,-0.038,0.039,-42.709,211.509,92.086,-204.533,-242.791,-260.705,-204.769,-223.126,347.310,-59.726,-82.918,-163.612,-108.732,-371.923,168.109,-905.881
294.128,82520.614,0.977,29.979,439.197,470.583,5.711,0.000,0.000,-2074.149,3871.546,-104.296,-0.037,0.039,-50.386,216.534,92.300,-204.742,-245.598,-264.754,-210.324,-226.766,347.869,-65.459,-77.116,-162.974,-98.381,-364.399,172.782,-910.716
294.178,82551.546,0.978,29.969,438.989,472.481,5.712,0.000,0.000,-2074.149,3868.686,-104.296,-0.037,0.038,-49.953,220.889,99.367,-196.076,-235.882,-256.344,-201.671,-220.235,347.645,-65.459,-77.432,-184.010,-89.913,-351.127,180.777,-948.839
293.814,82365.568,0.977,29.988,439.116,474.173,5.716,0.000,0.000,-2074.149,3870.897,-104.296,-0.037,0.039,-62.280,214.077,94.441,-204.638,-244.195,-262.366,-206.478,-226.124,347.370,-61.498,-71.525,-174.767,-97.858,-361.264,185.865,-926.573
294.346,82630.716,0.978,29.974,439.311,473.032,5.708,0.000,0.000,-2074.149,3863.774,-104.296,-0.036,0.038,-57.738,213.296,92.193,-204.220,-239.013,-255.098,-199.962,-219.058,348.489,-50.449,-75.006,-160.424,-103.504,-393.450,192.822,-914.315
293.857,82391.915,0.977,29.987,439.140,473.236,5.714,0.000,0.000,-2074.149,3860.010,-104.296,-0.038,0.039,-45.196,221.559,96.690,-199.835,-239.660,-258.213,-203.274,-221.520,348.153,-61.498,-79.531,-172.323,-94.931,-351.336,151.807,-901.720
294.131,82521.970,0.977,29.982,439.296,472.935,5.709,0.000,0.000,-2074.149,3864.673,-104.296,-0.037,0.039,-48.115,217.316,94.441,-206.308,-247.649,-266.415,-211.499,-229.122,347.594,-58.475,-85.860,-157.982,-105.909,-370.564,150.146,-868.994
294.187,82554.710,0.978,29.978,439.262,471.926,5.711,0.000,0.000,-2074.149,3856.691,-104.296,-0.037,0.038,-35.897,213.854,94.227,-198.895,-237.393,-257.175,-201.778,-221.520,347.035,-54.202,-77.421,-160.957,-88.764,-325.210,199.987,-983.701
293.814,82366.149,0.977,29.999,439.431,469.636,5.713,0.000,0.000,-2074.149,3853.732,-104.296,-0.038,0.039,-72.443,217.093,93.585,-205.264,-244.842,-264.235,-207.546,-222.912,347.147,-58.371,-74.362,-170.413,-97.128,-354.579,181.608,-920.388
294.345,82629.553,0.978,29.965,439.035,471.460,5.705,0.000,0.000,-2074.149,3846.007,-104.296,-0.036,0.038,-56.765,220.666,99.795,-197.120,-239.984,-261.432,-208.828,-229.122,346.252,-54.931,-77.210,-167.969,-103.296,-371.300,204.871,-948.502
293.856,82387.847,0.977,29.999,439.479,474.360,5.718,0.000,0.000,-2074.149,3843.741,-104.296,-0.038,0.039,-61.631,214.077,93.906,-203.176,-239.445,-259.355,-203.274,-222.805,346.811,-67.752,-66.030,-168.182,-102.251,-351.444,199.679,-923.432
294.123,82525.005,0.977,29.998,439.782,475.636,5.705,0.000,0.000,-2074.149,3854.826,-104.296,-0.037,0.038,-49.197,221.559,97.654,-198.791,-238.689,-258.836,-202.953,-220.664,347.818,-56.078,-79.425,-165.526,-96.396,-364.298,171.747,-906.001
294.187,82552.773,0.978,29.985,439.451,473.911,5.707,0.000,0.000,-2074.149,3861.743,-104.296,-0.036,0.038,-53.846,214.301,93.692,-206.308,-245.598,-263.923,-207.333,-226.874,347.482,-64.312,-82.168,-161.170,-97.860,-357.923,170.501,-926.356
293.815,82368.087,0.977,30.011,439.783,474.602,5.711,0.000,0.000,-2074.149,3867.248,-104.296,-0.038,0.039,-62.063,214.860,95.405,-202.549,-240.848,-262.158,-208.080,-227.837,347.706,-53.472,-77.949,-164.463,-99.951,-337.127,155.133,-919.721
294.352,82634.784,0.978,30.005,440.225,475.605,5.701,0.000,0.000,-2074.149,3871.365,-104.296,-0.036,0.037,-48.115,219.773,96.476,-198.060,-235.450,-254.475,-201.137,-219.379,347.930,-48.469,-65.924,-167.757,-114.170,-369.418,174.862,-945.924
