%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.223,82624.969,0.978,29.988,439.869,488.369,5.897,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-1410.838,-1697.746,-1170.130,-1039.200,-811.816,-665.424,-449.034,-259.706,347.092,-16.573,48.494,62.042,199.178,159.940,401.746,365.952
294.223,82624.969,0.978,29.988,439.869,488.369,5.897,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-1422.496,-1707.205,-1183.371,-1060.352,-819.366,-672.173,-447.646,-256.922,351.455,-8.756,54.305,67.682,201.901,164.860,402.473,370.577
294.479,82755.024,0.979,29.978,439.899,488.708,5.899,0.000,0.000,-2074.149,3912.182,-104.296,-0.036,0.038,-1414.184,-1695.296,-1163.220,-1031.177,-806.640,-659.091,-438.782,-247.181,350.895,-8.130,57.052,70.768,204.310,164.964,401.330,362.793
293.969,82500.015,0.978,29.991,439.682,489.467,5.902,0.000,0.000,-2074.149,3907.213,-104.296,-0.038,0.040,-1409.758,-1700.416,-1179.341,-1064.365,-828.857,-681.829,-464.197,-282.615,347.652,-20.013,45.324,59.807,198.340,158.998,400.396,365.388
294.523,82779.627,0.979,29.963,439.517,486.719,5.897,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1424.115,-1708.318,-1180.729,-1051.860,-816.562,-668.747,-450.529,-261.311,349.665,-2.085,61.912,77.259,211.326,177.839,403.303,378.248
294.117,82579.766,0.978,29.979,439.522,486.503,5.908,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,-1423.684,-1694.740,-1167.277,-1042.272,-806.532,-661.273,-443.161,-258.635,349.553,-13.863,46.170,59.168,195.408,153.346,401.227,358.619
294.208,82622.386,0.978,29.979,439.623,488.815,5.901,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-1419.474,-1704.534,-1187.349,-1063.115,-833.818,-677.986,-455.473,-247.502,348.546,-18.971,48.600,64.489,202.006,167.476,400.604,375.653
294.490,82761.288,0.979,29.946,438.966,488.801,5.901,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,-1415.156,-1695.296,-1165.035,-1026.849,-800.492,-647.466,-426.312,-214.884,350.112,-2.502,56.840,70.661,203.891,168.314,402.161,371.931
294.004,82515.513,0.978,29.972,439.160,487.506,5.913,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-1407.275,-1689.286,-1170.800,-1055.716,-826.376,-674.353,-460.601,-263.492,344.410,-20.430,41.732,53.528,189.858,146.437,398.215,355.235
294.538,82784.148,0.979,29.958,439.360,488.862,5.902,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1410.298,-1700.639,-1178.914,-1055.820,-825.621,-675.495,-454.405,-254.713,351.121,-10.736,55.890,73.003,207.346,176.269,401.330,379.714
294.141,82589.581,0.978,29.971,439.297,486.540,5.909,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-1412.673,-1693.070,-1164.715,-1037.791,-799.845,-647.258,-437.207,-261.030,348.884,-11.883,48.600,62.999,200.121,159.626,401.330,364.598
294.222,82629.101,0.978,29.956,438.960,488.094,5.903,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-1411.593,-1696.187,-1178.167,-1054.361,-826.484,-675.910,-456.114,-265.420,351.233,-21.889,43.423,56.614,194.675,155.962,400.707,366.854
294.489,82758.059,0.979,29.958,439.310,487.497,5.909,0.000,0.000,-2074.149,3912.439,-104.296,-0.035,0.038,-1404.145,-1695.853,-1171.655,-1046.649,-817.317,-670.201,-456.114,-255.569,352.352,-5.524,56.312,70.130,203.547,167.686,401.330,370.464
293.985,82507.247,0.978,29.958,438.737,487.231,5.908,0.000,0.000,-2074.149,3906.865,-104.296,-0.038,0.039,-1432.536,-1712.325,-1192.367,-1069.472,-824.435,-668.228,-446.714,-250.858,347.318,-15.635,46.170,60.446,198.835,159.312,400.811,365.500
294.522,82777.109,0.979,29.952,439.175,490.617,5.908,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,-1418.394,-1702.530,-1174.537,-1046.858,-817.748,-662.415,-445.112,-265.955,345.416,-17.616,48.917,62.148,200.092,162.976,400.710,368.434
294.115,82575.891,0.978,29.972,439.312,488.889,5.910,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,-1418.610,-1702.308,-1175.391,-1048.212,-813.542,-662.103,-435.071,-241.865,345.864,-11.153,50.185,64.170,201.034,163.081,402.267,370.692
