%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
293.653,82411.159,0.978,29.613,428.652,475.758,5.731,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,226.216,-807.304,-590.383,-788.199,-679.257,-620.682,-478.866,-357.711,347.368,-4.274,16.167,-9.031,98.421,-7.315,345.982,82.377
293.653,82411.159,0.978,29.613,428.652,475.758,5.731,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,213.546,-818.102,-597.548,-796.119,-684.546,-623.277,-478.759,-369.381,344.125,-8.964,13.420,-8.606,102.819,3.873,347.955,95.918
294.205,82682.247,0.979,29.602,428.953,477.765,5.727,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,224.267,-811.199,-590.168,-781.946,-668.893,-608.225,-467.436,-342.828,349.046,8.980,27.473,3.405,108.473,8.480,348.370,95.015
293.772,82468.760,0.978,29.626,429.157,480.106,5.731,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,216.037,-813.871,-595.301,-794.346,-685.410,-620.059,-471.495,-365.205,346.474,-13.133,8.770,-15.086,95.594,-8.569,346.397,84.069
293.949,82555.743,0.978,29.614,428.998,478.008,5.723,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,214.737,-817.323,-597.012,-795.701,-685.410,-624.627,-484.207,-360.602,349.046,0.313,21.873,-2.444,103.447,4.083,347.124,91.856
294.073,82615.928,0.979,29.621,429.359,478.557,5.729,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,225.350,-806.635,-586.319,-779.131,-668.245,-610.300,-468.611,-356.319,346.697,-0.521,18.914,-4.887,104.180,1.780,347.747,89.937
293.638,82399.406,0.978,29.626,429.013,480.750,5.725,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,215.170,-817.323,-597.012,-796.222,-687.029,-625.248,-481.001,-366.276,346.026,-8.547,12.152,-11.580,98.736,-3.971,346.709,89.373
294.177,82667.395,0.979,29.624,429.564,476.918,5.724,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,217.986,-814.539,-591.665,-784.237,-671.592,-612.272,-469.785,-351.714,345.691,4.908,25.254,2.235,109.520,11.830,348.474,96.821
293.764,82467.275,0.978,29.630,429.298,476.764,5.726,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,218.636,-813.092,-594.980,-790.386,-680.984,-620.473,-479.933,-359.958,346.757,-13.446,6.340,-17.636,92.767,-11.391,346.501,82.264
293.952,82561.749,0.978,29.615,429.055,478.095,5.724,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,209.648,-822.555,-601.182,-800.182,-691.238,-625.767,-481.642,-360.815,346.421,-1.876,18.914,-4.143,102.400,3.873,346.190,92.871
