%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.195,82672.496,0.979,30.009,440.790,477.604,5.700,0.000,0.000,-2074.149,3844.027,-104.296,-0.037,0.038,169.796,112.344,11.564,-285.762,-304.649,-309.296,-241.728,-247.537,342.612,-39.400,-56.650,-137.583,-53.216,-241.922,195.314,-601.451
294.195,82672.496,0.979,30.009,440.790,477.604,5.700,0.000,0.000,-2074.149,3844.027,-104.296,-0.037,0.038,166.872,113.460,13.170,-281.482,-298.819,-304.623,-239.378,-245.182,341.605,-40.338,-55.806,-135.245,-42.552,-238.474,198.845,-592.105
293.836,82492.588,0.978,30.021,440.707,479.223,5.700,0.000,0.000,-2074.149,3848.982,-104.296,-0.038,0.039,170.229,109.998,9.102,-286.806,-303.677,-307.531,-238.096,-242.077,343.507,-45.863,-61.503,-139.920,-53.216,-232.622,199.468,-594.132
294.357,82752.247,0.979,30.004,440.833,480.424,5.696,0.000,0.000,-2074.149,3850.485,-104.296,-0.036,0.038,172.178,115.470,12.207,-288.372,-310.262,-315.837,-247.496,-250.428,341.270,-40.755,-53.802,-133.439,-48.616,-223.007,195.833,-602.465
293.871,82511.057,0.978,30.028,440.955,479.535,5.702,0.000,0.000,-2074.149,3849.472,-104.296,-0.038,0.039,167.847,115.470,17.132,-277.931,-297.740,-307.115,-241.942,-246.145,342.164,-40.234,-53.063,-131.102,-44.224,-233.771,198.325,-597.848
294.147,82646.343,0.979,30.018,440.987,478.065,5.693,0.000,0.000,-2074.149,3851.273,-104.296,-0.037,0.039,168.496,110.110,10.279,-284.822,-300.007,-303.066,-236.921,-243.790,343.171,-46.697,-60.026,-137.370,-51.125,-240.668,198.429,-596.834
294.195,82673.271,0.979,30.004,440.641,478.557,5.697,0.000,0.000,-2074.149,3859.760,-104.296,-0.036,0.038,172.395,113.795,11.564,-287.537,-306.701,-310.853,-241.835,-245.289,342.612,-35.752,-52.641,-129.933,-46.002,-228.128,198.221,-592.443
293.830,82489.489,0.978,30.030,440.987,478.622,5.702,0.000,0.000,-2074.149,3859.034,-104.296,-0.038,0.039,173.694,117.145,17.454,-276.678,-297.524,-305.350,-240.660,-245.182,342.836,-36.899,-54.646,-133.333,-48.093,-230.009,196.975,-599.087
294.349,82756.251,0.979,30.016,441.218,478.493,5.692,0.000,0.000,-2074.149,3864.198,-104.296,-0.036,0.038,167.305,109.998,12.635,-283.256,-301.735,-308.880,-242.262,-248.073,343.009,-45.758,-63.718,-138.751,-49.766,-238.265,198.845,-596.159
293.880,82516.159,0.978,30.013,440.545,478.677,5.698,0.000,0.000,-2074.149,3856.883,-104.296,-0.038,0.039,169.904,113.013,12.528,-283.882,-301.735,-305.350,-237.562,-242.826,341.890,-38.983,-54.540,-133.439,-45.270,-230.218,198.637,-593.456
