%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.443,82614.959,0.977,29.732,432.009,468.379,5.744,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,72.445,216.201,103.116,-182.608,-223.251,-242.433,-189.281,-213.705,341.830,-35.127,-261.730,-348.897,-302.090,-512.688,216.186,-446.275
294.443,82614.959,0.977,29.732,432.009,468.379,5.744,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,98.218,213.185,99.368,-189.708,-231.456,-251.777,-202.847,-229.765,340.040,-142.175,-265.633,-357.715,-256.081,-418.009,228.854,-436.253
293.921,82352.330,0.976,29.742,431.711,468.754,5.756,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,89.879,201.013,95.192,-191.483,-235.450,-261.225,-209.363,-232.334,343.508,-125.706,-94.839,-218.645,-286.615,-608.517,209.229,-523.639
294.364,82574.277,0.977,29.739,432.121,465.644,5.751,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,71.362,216.647,102.580,-183.339,-226.922,-252.504,-202.206,-226.232,343.508,-113.823,-221.537,-378.645,-254.199,-394.392,231.034,-378.371
294.154,82465.725,0.977,29.761,432.508,469.115,5.753,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,131.787,201.571,95.406,-189.499,-231.888,-253.646,-201.565,-226.553,340.599,-148.429,-159.612,-203.878,-306.377,-660.036,189.085,-694.912
294.037,82409.996,0.976,29.744,431.888,470.596,5.745,0.000,0.000,-2074.149,3917.671,-104.296,-0.038,0.039,-7.028,223.459,103.329,-188.037,-234.263,-259.564,-206.158,-226.446,340.823,-69.420,-166.047,-339.973,-283.582,-481.338,206.633,-446.613
294.452,82615.799,0.977,29.737,432.163,467.428,5.752,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,101.250,209.612,100.224,-184.905,-222.388,-241.498,-191.418,-215.632,342.054,-109.654,-105.283,-356.016,-343.185,-547.069,218.678,-470.712
293.933,82360.854,0.976,29.782,432.889,469.911,5.754,0.000,0.000,-2074.149,3913.728,-104.296,-0.038,0.040,88.688,211.733,99.046,-188.559,-231.996,-253.853,-199.322,-222.270,342.389,-134.670,-91.885,-266.029,-293.516,-468.066,204.556,-631.294
294.372,82574.083,0.977,29.734,431.970,470.189,5.738,0.000,0.000,-2074.149,3913.817,-104.296,-0.037,0.038,34.327,214.079,99.796,-192.631,-235.774,-254.996,-199.429,-217.666,341.499,-98.814,-153.282,-385.126,-252.108,-406.409,234.045,-349.093
294.153,82466.694,0.977,29.748,432.144,469.481,5.757,0.000,0.000,-2074.149,3916.043,-104.296,-0.036,0.038,162.433,210.952,102.687,-182.295,-224.439,-248.143,-200.497,-225.161,343.848,-141.342,-62.136,-215.989,-265.597,-652.199,193.446,-663.501
294.040,82406.897,0.976,29.757,432.245,469.071,5.750,0.000,0.000,-2074.149,3911.081,-104.296,-0.037,0.039,5.739,216.870,98.618,-191.483,-231.564,-251.258,-199.109,-219.594,342.730,-118.410,-92.716,-289.083,-364.307,-522.511,210.786,-458.888
294.447,82614.701,0.977,29.742,432.315,470.003,5.748,0.000,0.000,-2074.149,3909.132,-104.296,-0.036,0.038,81.108,215.754,102.901,-182.712,-223.791,-248.143,-198.147,-224.197,345.191,-122.996,18.172,-293.291,-321.226,-630.253,200.403,-552.355
293.930,82354.526,0.976,29.773,432.600,468.951,5.754,0.000,0.000,-2074.149,3910.104,-104.296,-0.038,0.039,39.200,218.657,106.328,-182.295,-224.655,-248.455,-201.031,-223.662,343.177,-103.192,-237.116,-410.883,-290.547,-428.877,219.301,-410.803
294.371,82578.216,0.977,29.752,432.524,470.414,5.743,0.000,0.000,-2074.149,3914.696,-104.296,-0.036,0.038,118.684,202.800,95.834,-186.889,-227.462,-252.919,-203.809,-229.658,345.414,-153.641,-207.793,-284.686,-404.507,-523.039,191.161,-670.821
294.156,82469.018,0.977,29.764,432.608,470.237,5.751,0.000,0.000,-2074.149,3904.370,-104.296,-0.037,0.038,-5.514,224.911,104.936,-186.471,-227.462,-246.793,-194.409,-217.238,340.716,-52.638,-102.209,-304.020,-269.428,-560.138,197.706,-485.013
294.037,82409.028,0.976,29.768,432.576,469.007,5.747,0.000,0.000,-2074.149,3902.754,-104.296,-0.037,0.039,66.273,211.957,101.723,-184.905,-225.411,-244.613,-195.690,-224.197,344.967,-123.622,-104.951,-195.456,-288.979,-673.315,183.999,-625.670
294.439,82606.565,0.977,29.754,432.628,469.413,5.746,0.000,0.000,-2074.149,3895.261,-104.296,-0.036,0.037,24.040,218.099,98.832,-192.527,-233.507,-253.646,-199.963,-222.698,342.506,-118.619,-107.061,-359.682,-338.536,-516.560,199.886,-507.653
