%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
293.920,82357.302,0.976,29.609,427.877,478.669,5.803,0.000,0.000,-2074.149,3857.505,-104.296,-0.038,0.039,-465.837,-1292.042,-887.984,-996.417,-863.580,-661.272,-484.420,-380.730,344.908,7.205,45.754,39.374,159.045,93.172,379.625,266.878
293.920,82357.302,0.976,29.609,427.877,478.669,5.803,0.000,0.000,-2074.149,3857.505,-104.296,-0.038,0.039,-464.756,-1289.814,-884.781,-991.727,-864.982,-656.496,-483.032,-375.912,345.243,9.293,46.493,41.077,159.359,95.161,380.040,270.940
294.327,82564.074,0.977,29.602,428.157,479.518,5.791,0.000,0.000,-2074.149,3853.318,-104.296,-0.036,0.038,-465.729,-1285.472,-880.003,-988.184,-862.393,-655.147,-484.313,-381.801,343.454,9.084,45.648,38.310,156.427,88.775,378.068,256.835
294.187,82487.874,0.977,29.580,427.324,475.993,5.795,0.000,0.000,-2074.149,3850.283,-104.296,-0.038,0.038,-476.864,-1297.496,-889.293,-996.832,-870.698,-663.867,-494.568,-386.512,343.007,2.715,42.478,38.629,159.778,96.417,379.210,267.781
293.995,82393.271,0.976,29.608,427.929,475.801,5.803,0.000,0.000,-2074.149,3842.612,-104.296,-0.038,0.039,-472.432,-1297.496,-888.332,-987.453,-857.864,-654.524,-484.634,-380.302,342.112,8.876,45.437,40.332,161.558,99.139,381.390,272.294
294.432,82614.378,0.977,29.603,428.292,478.032,5.792,0.000,0.000,-2074.149,3858.134,-104.296,-0.036,0.038,-459.567,-1288.032,-886.303,-994.227,-868.433,-657.429,-486.236,-378.375,345.579,10.651,45.754,38.736,156.637,90.869,379.937,267.216
293.913,82351.491,0.976,29.603,427.698,477.068,5.796,0.000,0.000,-2074.149,3859.090,-104.296,-0.038,0.039,-468.972,-1289.925,-884.061,-989.850,-862.070,-662.931,-486.128,-381.266,346.921,12.426,47.550,42.567,160.825,96.836,379.314,268.570
294.328,82559.618,0.977,29.595,427.920,474.354,5.796,0.000,0.000,-2074.149,3860.102,-104.296,-0.037,0.038,-470.702,-1287.142,-878.722,-982.243,-859.913,-650.370,-483.458,-372.485,346.026,16.707,54.207,48.739,165.746,101.652,379.210,266.201
294.182,82487.810,0.977,29.597,427.832,474.406,5.799,0.000,0.000,-2074.149,3846.216,-104.296,-0.037,0.038,-470.053,-1287.810,-880.430,-984.223,-861.423,-652.239,-486.876,-384.048,342.843,3.759,41.210,36.501,158.207,94.010,380.040,265.637
294.003,82401.601,0.976,29.609,427.998,476.427,5.798,0.000,0.000,-2074.149,3847.914,-104.296,-0.038,0.039,-469.188,-1291.818,-889.400,-989.433,-864.658,-659.194,-484.847,-376.233,344.856,9.607,44.697,39.055,158.940,94.952,379.729,268.119
294.439,82619.932,0.978,29.583,427.738,478.231,5.794,0.000,0.000,-2074.149,3864.801,-104.296,-0.036,0.037,-460.215,-1281.352,-875.839,-985.577,-858.187,-659.090,-484.099,-376.125,344.521,14.827,52.403,45.866,161.348,95.266,378.483,259.430
293.919,82355.430,0.976,29.610,427.897,475.821,5.805,0.000,0.000,-2074.149,3872.259,-104.296,-0.039,0.039,-464.756,-1286.808,-881.925,-984.118,-859.482,-652.758,-484.953,-384.905,343.626,3.550,42.049,36.815,158.521,94.219,379.210,267.216
294.328,82560.005,0.977,29.577,427.416,474.679,5.794,0.000,0.000,-2074.149,3868.401,-104.296,-0.037,0.038,-468.324,-1291.818,-887.798,-990.267,-867.354,-654.938,-478.224,-374.627,344.409,12.739,48.388,43.624,162.212,100.186,380.663,274.438
294.178,82483.806,0.977,29.595,427.745,476.941,5.807,0.000,0.000,-2074.149,3869.923,-104.296,-0.038,0.038,-466.486,-1284.358,-881.284,-986.307,-864.874,-655.249,-483.137,-376.018,345.863,9.084,44.162,37.879,156.662,90.542,378.794,266.765
294.010,82399.793,0.976,29.611,428.020,475.609,5.800,0.000,0.000,-2074.149,3860.585,-104.296,-0.038,0.039,-469.621,-1287.698,-885.876,-990.788,-863.256,-663.346,-486.342,-381.051,343.402,8.458,46.064,41.390,160.222,96.613,378.382,266.765
294.444,82618.705,0.977,29.581,427.660,477.090,5.795,0.000,0.000,-2074.149,3867.117,-104.296,-0.036,0.037,-463.026,-1284.358,-877.868,-982.347,-859.374,-650.682,-479.826,-374.948,342.955,14.097,48.917,45.008,163.050,99.648,378.798,269.838
293.920,82354.267,0.976,29.592,427.372,475.472,5.807,0.000,0.000,-2074.149,3872.681,-104.296,-0.039,0.039,-467.206,-1282.466,-880.217,-985.473,-861.099,-654.523,-482.924,-379.873,342.172,6.056,43.106,36.602,155.300,89.495,378.071,264.197
294.330,82561.491,0.977,29.596,427.952,473.719,5.802,0.000,0.000,-2074.149,3877.687,-104.296,-0.037,0.038,-470.666,-1287.697,-883.740,-989.121,-865.197,-661.997,-486.876,-377.517,343.290,8.876,46.698,42.880,162.840,101.846,379.109,270.853
294.179,82481.933,0.977,29.590,427.598,475.676,5.802,0.000,0.000,-2074.149,3872.620,-104.296,-0.037,0.038,-455.745,-1275.005,-871.459,-972.238,-854.628,-642.688,-469.358,-369.273,343.626,14.514,49.022,43.731,162.212,98.706,379.109,265.777
294.000,82396.952,0.976,29.594,427.525,476.241,5.804,0.000,0.000,-2074.149,3869.157,-104.296,-0.038,0.039,-461.151,-1281.240,-879.148,-983.075,-857.217,-653.485,-485.808,-377.196,345.304,9.502,45.853,39.475,158.128,92.949,378.175,263.972
