%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.094,82386.684,0.976,30.001,439.181,478.252,5.709,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,403.701,-110.590,-148.852,-434.126,-415.736,-398.216,-309.558,-305.569,354.972,-28.247,-31.643,-94.024,-1.359,-188.940,261.563,-382.989
294.094,82386.684,0.976,30.001,439.181,478.252,5.709,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,409.007,-106.688,-144.254,-427.340,-407.963,-391.987,-304.324,-299.573,354.189,-23.870,-32.171,-90.199,-3.242,-191.971,261.666,-385.466
294.488,82585.577,0.977,29.993,439.426,477.720,5.703,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,400.885,-116.387,-149.921,-431.203,-409.583,-391.572,-304.752,-305.140,353.518,-28.247,-34.808,-96.468,-5.960,-193.957,262.497,-385.016
294.393,82535.660,0.977,30.004,439.602,480.437,5.706,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,404.459,-112.597,-148.424,-430.682,-408.395,-389.080,-298.770,-297.539,356.538,-14.489,-24.576,-82.019,3.351,-189.567,263.951,-376.908
294.141,82409.932,0.976,30.003,439.291,479.278,5.702,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,408.790,-108.472,-146.499,-429.638,-410.189,-393.855,-307.849,-306.639,352.512,-35.335,-42.402,-102.523,-8.156,-202.839,263.639,-383.665
294.594,82634.009,0.977,29.995,439.563,476.964,5.703,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,402.618,-116.164,-153.664,-439.348,-417.423,-398.320,-307.315,-304.712,355.755,-27.414,-35.124,-94.980,-4.078,-198.137,262.601,-380.061
294.073,82374.996,0.976,30.017,439.623,478.822,5.706,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,412.905,-100.891,-139.763,-423.373,-405.222,-388.251,-297.489,-291.971,354.860,-16.573,-24.998,-86.162,-3.346,-191.762,260.940,-386.930
294.482,82581.638,0.977,30.002,439.677,480.523,5.698,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,399.152,-116.275,-150.349,-437.155,-417.207,-399.358,-312.123,-315.527,354.860,-37.107,-41.242,-99.761,-6.692,-194.270,260.109,-389.746
294.403,82541.343,0.977,30.002,439.558,479.276,5.704,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,400.127,-118.617,-153.557,-435.276,-410.621,-391.573,-300.587,-297.754,356.490,-21.264,-32.382,-89.668,0.524,-182.775,264.366,-376.795
294.165,82420.070,0.976,30.030,440.099,477.167,5.704,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,412.039,-106.688,-145.430,-429.325,-409.217,-391.261,-301.762,-301.501,352.463,-29.603,-38.288,-98.805,-9.411,-200.331,261.978,-387.381
294.606,82645.439,0.977,29.995,439.628,479.386,5.694,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,399.477,-116.833,-152.595,-439.452,-418.719,-399.877,-309.346,-309.638,356.155,-26.893,-32.904,-95.193,-5.437,-198.137,262.186,-383.214
294.070,82373.446,0.976,30.021,439.741,480.482,5.707,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,409.332,-108.472,-145.109,-427.550,-406.086,-388.458,-298.557,-294.649,360.070,-21.681,-27.420,-90.399,-2.196,-193.957,261.770,-383.665
294.468,82574.406,0.977,29.997,439.491,477.155,5.696,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,403.376,-113.377,-148.852,-435.172,-413.320,-395.517,-305.073,-304.820,354.141,-28.456,-36.701,-99.428,-9.723,-204.302,260.940,-388.620
294.385,82531.592,0.977,30.002,439.545,480.333,5.706,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.038,402.943,-113.042,-150.349,-437.260,-417.423,-400.189,-308.491,-304.285,357.609,-24.182,-30.901,-90.186,-0.000,-194.899,262.393,-379.949
294.172,82424.397,0.976,30.025,439.978,481.292,5.703,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,410.198,-106.019,-142.436,-423.373,-401.443,-384.617,-297.596,-299.253,356.826,-24.599,-31.217,-91.249,-2.614,-194.481,263.436,-382.201
294.616,82645.504,0.977,29.998,439.686,477.079,5.695,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,400.885,-116.498,-152.274,-434.127,-411.809,-392.714,-305.287,-309.424,354.812,-33.355,-38.810,-99.747,-6.587,-194.899,261.983,-385.133
294.067,82370.734,0.976,30.013,439.498,477.867,5.706,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.039,402.295,-115.272,-153.771,-436.738,-414.400,-395.102,-304.753,-301.822,355.036,-22.410,-30.690,-95.179,-4.809,-193.541,262.398,-380.404
294.475,82573.373,0.977,30.004,439.692,478.643,5.699,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,408.901,-109.029,-147.355,-428.594,-405.654,-387.524,-298.985,-298.717,354.701,-23.766,-33.432,-96.241,-5.855,-191.868,263.436,-378.489
