%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.852,82623.806,0.976,29.972,438.464,479.592,5.730,0.000,0.000,-2074.149,3910.976,-104.296,-0.034,0.038,430.020,-197.213,-204.748,-480.383,-444.201,-418.006,-321.532,-326.827,358.725,-17.720,-27.530,-86.893,5.655,-154.769,279.633,-306.078
294.852,82623.806,0.976,29.972,438.464,479.592,5.730,0.000,0.000,-2074.149,3910.976,-104.296,-0.034,0.038,430.561,-197.212,-204.641,-477.981,-442.690,-417.487,-324.415,-329.824,356.488,-22.306,-29.218,-86.468,6.912,-154.874,280.464,-303.376
294.310,82351.813,0.975,29.975,437.910,479.741,5.731,0.000,0.000,-2074.149,3902.839,-104.296,-0.036,0.040,427.529,-201.226,-208.704,-482.993,-446.901,-420.394,-326.124,-329.503,355.593,-20.847,-30.167,-90.080,1.361,-156.650,280.049,-303.488
294.757,82574.664,0.976,29.977,438.488,477.558,5.730,0.000,0.000,-2074.149,3900.991,-104.296,-0.034,0.038,429.912,-196.766,-205.924,-480.173,-442.906,-413.541,-318.969,-322.009,356.041,-17.303,-23.100,-85.512,3.665,-155.710,281.087,-298.871
294.515,82452.164,0.975,29.981,438.317,477.694,5.729,0.000,0.000,-2074.149,3904.037,-104.296,-0.035,0.039,434.135,-190.969,-202.503,-476.519,-443.123,-416.448,-323.988,-327.683,354.699,-16.261,-26.475,-87.743,0.419,-161.562,279.322,-306.641
294.415,82401.278,0.975,29.981,438.182,478.356,5.728,0.000,0.000,-2074.149,3908.155,-104.296,-0.035,0.039,423.739,-199.108,-206.352,-480.278,-446.362,-419.355,-326.124,-332.500,354.027,-21.264,-28.479,-89.230,2.723,-158.323,279.529,-304.051
294.851,82618.898,0.976,29.975,438.523,477.872,5.729,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,432.727,-192.084,-201.327,-473.073,-436.644,-410.114,-315.765,-317.406,355.929,-12.404,-21.518,-85.618,7.016,-153.829,281.502,-299.547
294.318,82354.849,0.975,29.985,438.196,478.033,5.729,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,430.128,-193.756,-201.540,-476.519,-442.583,-415.409,-322.279,-331.751,355.146,-20.743,-27.108,-88.168,3.560,-160.413,278.699,-308.218
294.763,82576.860,0.976,29.963,438.079,477.398,5.727,0.000,0.000,-2074.149,3917.671,-104.296,-0.033,0.039,421.032,-203.232,-208.597,-482.157,-446.686,-420.185,-324.949,-331.537,354.086,-21.577,-28.690,-91.248,4.084,-151.843,280.464,-299.434
294.512,82452.035,0.975,29.990,438.569,480.430,5.735,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,433.918,-194.537,-203.999,-478.294,-441.611,-413.956,-318.115,-321.474,353.862,-17.824,-25.526,-89.443,1.047,-160.517,280.049,-304.389
