%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.584,82483.677,0.975,29.586,426.909,469.407,5.688,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,427.204,-432.998,-358.069,-605.255,-533.819,-486.739,-381.652,-382.600,346.533,-15.114,-9.704,-49.926,49.952,-93.426,312.757,-114.976
294.584,82483.677,0.975,29.586,426.909,469.407,5.688,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,423.739,-435.340,-361.276,-611.102,-540.405,-492.138,-385.603,-385.384,348.323,-20.013,-13.185,-55.131,45.135,-99.278,311.511,-120.720
294.672,82523.133,0.976,29.580,426.818,469.319,5.693,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,421.682,-437.681,-362.345,-612.042,-541.053,-490.373,-382.186,-377.141,348.658,-8.756,-4.536,-48.227,47.124,-96.352,312.757,-113.625
294.318,82348.972,0.975,29.587,426.609,469.507,5.695,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,427.854,-431.438,-356.358,-605.151,-536.626,-490.165,-383.467,-390.201,349.777,-10.423,-2.953,-45.890,51.627,-92.381,312.134,-118.355
294.844,82613.474,0.976,29.557,426.361,467.862,5.692,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,420.274,-437.792,-361.383,-610.267,-539.435,-491.203,-385.923,-386.775,345.638,-18.866,-11.497,-53.326,45.763,-98.338,311.719,-118.130
294.344,82362.468,0.975,29.584,426.580,468.592,5.703,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,423.847,-433.890,-359.137,-605.568,-534.900,-486.843,-380.691,-384.313,344.520,-10.632,-2.953,-43.978,52.046,-88.201,311.719,-113.625
294.580,82483.935,0.975,29.578,426.678,470.750,5.693,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,422.764,-435.117,-360.314,-607.657,-536.951,-489.023,-382.506,-386.668,345.974,-18.137,-12.763,-53.538,46.496,-97.711,312.965,-115.089
294.665,82521.454,0.976,29.568,426.455,470.222,5.697,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,423.631,-435.674,-361.062,-610.893,-541.594,-493.903,-386.564,-393.091,348.323,-16.573,-8.438,-50.351,48.904,-95.516,311.823,-115.652
294.317,82343.289,0.975,29.596,426.864,470.551,5.700,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,425.472,-433.667,-357.641,-606.404,-537.815,-490.269,-383.147,-392.770,349.389,-11.257,-6.329,-49.077,47.438,-96.352,311.719,-117.003
294.851,82614.572,0.976,29.581,427.059,471.503,5.690,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,424.714,-433.779,-356.678,-604.107,-534.792,-489.854,-384.428,-392.663,347.487,-12.300,-5.063,-48.333,48.486,-95.412,311.304,-118.130
