%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.885,82816.048,0.978,29.992,440.031,477.331,5.967,0.000,0.000,-2074.149,3914.659,-104.296,-0.035,0.038,153.339,229.234,113.076,-193.365,-255.681,-296.322,-260.985,-340.209,332.440,-379.415,-335.212,-360.214,-175.437,-350.923,243.810,-331.642
294.885,82816.048,0.978,29.992,440.031,477.331,5.967,0.000,0.000,-2074.149,3914.659,-104.296,-0.035,0.038,159.945,214.159,101.083,-210.174,-273.604,-315.010,-272.731,-336.569,334.118,-391.611,-299.665,-343.430,-174.809,-353.849,243.603,-324.998
294.416,82572.081,0.977,30.037,440.755,478.560,5.979,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,165.143,239.282,112.111,-198.689,-265.183,-308.366,-274.013,-347.916,335.460,-350.021,-278.675,-329.196,-164.877,-347.892,244.018,-338.511
294.816,82698.714,0.977,30.007,439.933,477.661,5.962,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,160.595,224.208,109.863,-196.392,-260.432,-302.551,-266.110,-344.170,333.559,-394.217,-301.881,-331.533,-174.600,-331.485,245.887,-318.241
294.729,82733.908,0.978,29.997,439.972,478.339,5.975,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,168.067,213.936,95.942,-217.900,-277.384,-313.142,-270.809,-341.493,333.223,-359.402,-304.201,-361.276,-166.027,-351.236,242.460,-321.394
294.360,82550.448,0.977,30.018,440.152,477.686,5.976,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,170.124,225.213,104.188,-207.250,-271.553,-310.441,-271.450,-339.995,336.131,-353.252,-337.005,-376.254,-195.197,-373.182,240.695,-338.061
294.903,82823.862,0.978,30.017,440.768,479.505,5.969,0.000,0.000,-2074.149,3910.967,-104.296,-0.034,0.038,155.613,241.627,118.643,-189.814,-258.488,-303.174,-269.314,-346.311,333.559,-335.532,-302.302,-348.423,-164.354,-332.530,246.199,-321.394
294.403,82571.629,0.977,30.018,440.206,479.156,5.970,0.000,0.000,-2074.149,3909.289,-104.296,-0.036,0.040,162.219,220.412,109.327,-199.628,-260.000,-299.747,-261.945,-335.820,333.111,-375.975,-298.505,-320.698,-174.078,-325.111,246.406,-322.520
294.694,82722.478,0.978,30.002,440.113,477.864,5.969,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,169.799,221.752,105.258,-206.102,-267.342,-304.731,-261.839,-328.433,335.074,-384.106,-314.222,-334.507,-154.317,-307.136,255.959,-260.246
294.724,82737.137,0.978,30.009,440.327,477.685,5.975,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,199.363,215.387,100.226,-212.157,-275.008,-314.906,-272.304,-339.995,333.844,-313.227,-299.138,-353.309,-170.418,-351.445,247.341,-324.885
294.345,82544.314,0.977,30.035,440.657,478.746,5.972,0.000,0.000,-2074.149,3917.430,-104.296,-0.036,0.040,172.507,225.436,108.792,-200.150,-261.727,-303.900,-262.052,-329.290,335.522,-390.570,-302.365,-340.881,-170.836,-335.979,251.390,-306.304
294.879,82811.140,0.978,30.005,440.384,478.407,5.963,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,165.468,229.233,111.683,-197.436,-261.835,-301.928,-258.955,-329.182,330.936,-357.944,-298.779,-372.752,-183.278,-360.955,246.095,-323.083
294.389,82570.660,0.977,30.020,440.273,478.206,5.975,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.040,163.410,228.116,109.541,-203.283,-266.478,-304.627,-262.052,-329.504,335.074,-388.798,-302.259,-340.565,-186.653,-370.779,239.449,-359.232
294.691,82716.795,0.978,30.013,440.410,475.975,5.968,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,144.676,243.078,117.894,-190.336,-255.141,-295.075,-255.325,-325.007,333.397,-346.061,-294.771,-346.301,-163.126,-339.012,245.679,-316.327
294.730,82741.592,0.978,30.015,440.544,477.514,5.971,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.038,161.894,237.942,119.821,-187.413,-252.982,-296.736,-261.625,-336.890,332.726,-392.759,-294.138,-327.180,-168.772,-347.268,241.736,-339.975
294.367,82555.614,0.977,30.019,440.211,475.487,5.970,0.000,0.000,-2074.149,3917.671,-104.296,-0.037,0.040,145.434,224.878,109.434,-196.914,-257.840,-297.878,-260.771,-333.893,330.601,-382.023,-317.235,-371.796,-183.621,-324.591,246.721,-310.811
294.903,82823.733,0.978,29.983,439.783,475.843,5.969,0.000,0.000,-2074.149,3917.671,-104.296,-0.034,0.038,169.663,227.334,109.006,-202.447,-267.450,-303.070,-258.528,-324.686,332.390,-380.459,-291.924,-348.744,-158.106,-324.277,249.420,-300.112
294.408,82578.668,0.977,30.027,440.498,475.818,5.982,0.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.039,178.975,226.254,107.828,-203.283,-267.342,-308.884,-268.246,-337.961,331.607,-324.589,-295.826,-359.473,-183.830,-364.093,241.529,-348.198
294.697,82716.795,0.978,30.011,440.330,478.369,5.965,0.000,0.000,-2074.149,3914.356,-104.296,-0.035,0.039,153.531,231.056,114.146,-196.809,-262.807,-304.627,-263.654,-334.321,335.074,-357.736,-279.479,-354.905,-183.516,-357.300,239.660,-352.815
294.730,82735.974,0.978,30.009,440.329,476.881,5.972,0.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.039,143.570,236.975,113.718,-196.079,-259.028,-300.578,-264.935,-342.243,333.844,-373.163,-335.164,-355.330,-174.942,-349.776,247.032,-307.770
